session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
99iosefo,1,cfn8fv6w,0,,InitializeParticipant,1789366619,1,0,0
99iosefo,2,a1q00v4p,0,,InitializeParticipant,1789366619,1,0,0
99iosefo,3,rucumqi6,0,,InitializeParticipant,1789366619,1,0,0
99iosefo,4,lbzqe7lh,0,,InitializeParticipant,1789366620,1,0,0
99iosefo,5,i42igenv,0,,InitializeParticipant,1789366620,1,0,0
99iosefo,6,2nkc141x,0,,InitializeParticipant,1789366620,1,0,0
99iosefo,7,oqud1wxk,0,,InitializeParticipant,1789366620,1,0,0
99iosefo,8,a6q31ex7,0,,InitializeParticipant,1789366620,1,0,0
99iosefo,9,o60mnzij,0,,InitializeParticipant,1789366620,1,0,0
99iosefo,10,bnt5i99k,0,,InitializeParticipant,1789366620,1,0,0
99iosefo,11,zrywj9fx,0,,InitializeParticipant,1789366620,1,0,0
99iosefo,12,i44g0thi,0,,InitializeParticipant,1789366620,1,0,0
99iosefo,13,s9ryf5kv,0,,InitializeParticipant,1789366620,1,0,0
99iosefo,14,oe31za5u,0,,InitializeParticipant,1789366620,1,0,0
99iosefo,15,v86y9zyn,0,,InitializeParticipant,1789366620,1,0,0
99iosefo,16,3p6ks3hb,0,,InitializeParticipant,1789366620,1,0,0
99iosefo,17,y5kgtmfb,0,,InitializeParticipant,1789366620,1,0,0
99iosefo,18,ebzeqzcf,0,,InitializeParticipant,1789366620,1,0,0
99iosefo,19,pb6d6kev,0,,InitializeParticipant,1789366620,1,0,0
99iosefo,20,m8xnbw73,0,,InitializeParticipant,1789366620,1,0,0
99iosefo,21,an9ihpoe,0,,InitializeParticipant,1789366620,1,0,0
99iosefo,22,rbyuqaqn,0,,InitializeParticipant,1789366620,1,0,0
99iosefo,23,3pb269ab,0,,InitializeParticipant,1789366621,1,0,0
99iosefo,24,ewpd3m8q,0,,InitializeParticipant,1789366621,1,0,0
99iosefo,25,0tv7bd9u,0,,InitializeParticipant,1789366621,1,0,0
99iosefo,3,rucumqi6,1,portfolio,Welcome,1789366629,1,0,0
99iosefo,23,3pb269ab,1,portfolio,Welcome,1789366633,1,0,0
99iosefo,3,rucumqi6,2,portfolio,InstructionsRisk,1789366633,1,0,0
99iosefo,21,an9ihpoe,1,portfolio,Welcome,1789366633,1,0,0
99iosefo,11,zrywj9fx,1,portfolio,Welcome,1789366635,1,0,0
99iosefo,9,o60mnzij,1,portfolio,Welcome,1789366635,1,0,0
99iosefo,23,3pb269ab,2,portfolio,InstructionsRisk,1789366636,1,0,0
99iosefo,15,v86y9zyn,1,portfolio,Welcome,1789366637,1,0,0
99iosefo,21,an9ihpoe,2,portfolio,InstructionsRisk,1789366637,1,0,0
99iosefo,11,zrywj9fx,2,portfolio,InstructionsRisk,1789366638,1,0,0
99iosefo,9,o60mnzij,2,portfolio,InstructionsRisk,1789366644,1,0,0
99iosefo,20,m8xnbw73,1,portfolio,Welcome,1789366644,1,0,0
99iosefo,6,2nkc141x,1,portfolio,Welcome,1789366645,1,0,0
99iosefo,17,y5kgtmfb,1,portfolio,Welcome,1789366646,1,0,0
99iosefo,15,v86y9zyn,2,portfolio,InstructionsRisk,1789366650,1,0,0
99iosefo,2,a1q00v4p,1,portfolio,Welcome,1789366650,1,0,0
99iosefo,2,a1q00v4p,2,portfolio,InstructionsRisk,1789366658,1,0,0
99iosefo,11,zrywj9fx,3,portfolio,ComprehensionRisk,1789366661,1,0,0
99iosefo,3,rucumqi6,3,portfolio,ComprehensionRisk,1789366661,1,0,0
99iosefo,23,3pb269ab,3,portfolio,ComprehensionRisk,1789366662,1,0,0
99iosefo,20,m8xnbw73,2,portfolio,InstructionsRisk,1789366662,1,0,0
99iosefo,19,pb6d6kev,1,portfolio,Welcome,1789366663,1,0,0
99iosefo,7,oqud1wxk,1,portfolio,Welcome,1789366664,1,0,0
99iosefo,10,bnt5i99k,1,portfolio,Welcome,1789366665,1,0,0
99iosefo,9,o60mnzij,3,portfolio,ComprehensionRisk,1789366665,1,0,0
99iosefo,22,rbyuqaqn,1,portfolio,Welcome,1789366668,1,0,0
99iosefo,17,y5kgtmfb,2,portfolio,InstructionsRisk,1789366669,1,0,0
99iosefo,15,v86y9zyn,3,portfolio,ComprehensionRisk,1789366672,1,0,0
99iosefo,24,ewpd3m8q,1,portfolio,Welcome,1789366673,1,0,0
99iosefo,18,ebzeqzcf,1,portfolio,Welcome,1789366673,1,0,0
99iosefo,11,zrywj9fx,4,portfolio,DynamicChoice,1789366674,1,0,0
99iosefo,5,i42igenv,1,portfolio,Welcome,1789366674,1,0,0
99iosefo,23,3pb269ab,4,portfolio,DynamicChoice,1789366674,1,0,0
99iosefo,14,oe31za5u,1,portfolio,Welcome,1789366676,1,0,0
99iosefo,21,an9ihpoe,3,portfolio,ComprehensionRisk,1789366677,1,0,0
99iosefo,13,s9ryf5kv,1,portfolio,Welcome,1789366679,1,0,0
99iosefo,22,rbyuqaqn,2,portfolio,InstructionsRisk,1789366680,1,0,0
99iosefo,9,o60mnzij,4,portfolio,DynamicChoice,1789366681,1,0,0
99iosefo,10,bnt5i99k,2,portfolio,InstructionsRisk,1789366684,1,0,0
99iosefo,12,i44g0thi,1,portfolio,Welcome,1789366686,1,0,0
99iosefo,20,m8xnbw73,3,portfolio,ComprehensionRisk,1789366687,1,0,0
99iosefo,7,oqud1wxk,2,portfolio,InstructionsRisk,1789366688,1,0,0
99iosefo,13,s9ryf5kv,2,portfolio,InstructionsRisk,1789366691,1,0,0
99iosefo,19,pb6d6kev,2,portfolio,InstructionsRisk,1789366692,1,0,0
99iosefo,16,3p6ks3hb,1,portfolio,Welcome,1789366694,1,0,0
99iosefo,6,2nkc141x,2,portfolio,InstructionsRisk,1789366697,1,0,0
99iosefo,20,m8xnbw73,4,portfolio,DynamicChoice,1789366697,1,0,0
99iosefo,3,rucumqi6,4,portfolio,DynamicChoice,1789366697,1,0,0
99iosefo,4,lbzqe7lh,1,portfolio,Welcome,1789366700,1,0,0
99iosefo,21,an9ihpoe,4,portfolio,DynamicChoice,1789366701,1,0,0
99iosefo,8,a6q31ex7,1,portfolio,Welcome,1789366710,1,0,0
99iosefo,5,i42igenv,2,portfolio,InstructionsRisk,1789366712,1,0,0
99iosefo,10,bnt5i99k,3,portfolio,ComprehensionRisk,1789366712,1,0,0
99iosefo,13,s9ryf5kv,3,portfolio,ComprehensionRisk,1789366713,1,0,0
