participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.is_dictator,player.dictator_payoff,player.partner_id_in_group,player.task1_points,player.allocation_points,player.market_points,player.belief_points,player.total_combined_payoff,player.payment_sgd,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,1c9g6x62,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:37.268362,1,,,722.22,1,,0.0,0,0.0,13,50.0,80.0,630.0,0.0,760.0,15.0,1,1,gykh8ja7,,,,,0
2,7fakiwkr,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:37.284907,1,,,555.56,2,,50.0,0,50.0,8,75.0,87.5,375.0,0.0,587.5,12.0,1,1,gykh8ja7,,,,,0
3,d4zd28hb,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:37.385946,1,,,666.67,3,,100.0,1,100.0,12,87.5,85.0,415.0,0.0,687.5,14.0,1,1,gykh8ja7,,,,,0
4,ja5c25rz,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:38.211419,1,,,500.0,4,,100.0,1,100.0,18,75.0,82.5,265.0,0.0,522.5,11.0,1,1,gykh8ja7,,,,,0
5,oedddvhv,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:38.224881,1,,,0.0,5,,100.0,1,100.0,16,60.0,80.0,-335.0,0.0,-95.0,2.0,1,1,gykh8ja7,,,,,0
6,7q18nnfd,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:38.238172,1,,,888.89,6,,0.0,0,0.0,17,150.0,122.5,665.0,0.0,937.5,18.0,1,1,gykh8ja7,,,,,0
7,03zce18q,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:38.255812,1,,,944.44,7,,80.0,1,80.0,14,230.0,115.0,490.0,60.0,975.0,19.0,1,1,gykh8ja7,,,,,0
8,wbs0fdl5,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:38.263655,1,,,777.78,8,,50.0,1,50.0,2,100.0,109.0,555.0,0.0,814.0,16.0,1,1,gykh8ja7,,,,,0
9,cqrngk2a,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:38.275787,1,,,1000.0,9,,50.0,0,50.0,11,200.0,122.5,635.0,0.0,1007.5,20.0,1,1,gykh8ja7,,,,,0
10,259xsu1c,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:38.296234,1,,,833.33,10,,0.0,0,0.0,25,160.0,129.25,455.0,97.5,841.75,17.0,1,1,gykh8ja7,,,,,0
11,xnss4pg0,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:38.303827,1,,,611.11,11,,50.0,1,50.0,9,75.0,132.0,406.0,0.0,663.0,13.0,1,1,gykh8ja7,,,,,0
12,5seuckqb,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:38.336823,1,,,611.11,12,,0.0,0,0.0,3,60.0,130.2,140.0,300.0,630.2,13.0,1,1,gykh8ja7,,,,,0
13,hdnqitby,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:38.344821,1,,,722.22,13,,100.0,1,100.0,1,77.5,130.2,154.0,300.0,761.7,15.0,1,1,gykh8ja7,,,,,0
14,ss3joq82,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:38.357265,1,,,611.11,14,,20.0,0,20.0,7,70.0,124.80000000000001,434.0,0.0,648.8,13.0,1,1,gykh8ja7,,,,,0
15,5wh6kzb3,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:38.376395,1,,,1277.78,15,,100.0,1,100.0,19,95.0,127.2,966.0,0.0,1288.2,25.0,1,1,gykh8ja7,,,,,0
16,kh2preog,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:38.385376,1,,,0.0,16,,0.0,0,0.0,5,87.5,75.0,-537.0,60.0,-314.5,2.0,1,1,gykh8ja7,,,,,0
17,ao798wr7,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:38.396990,1,,,555.56,17,,100.0,1,100.0,6,100.0,75.0,265.0,60.0,600.0,12.0,1,1,gykh8ja7,,,,,0
18,3788h5gm,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:38.404908,1,,,888.89,18,,0.0,0,0.0,4,85.0,75.0,636.0,97.5,893.5,18.0,1,1,gykh8ja7,,,,,0
19,dk85qrmf,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:38.415392,1,,,1166.67,19,,0.0,0,0.0,15,94.5,75.0,1037.0,0.0,1206.5,23.0,1,1,gykh8ja7,,,,,0
20,qruijzzl,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:38.525965,1,,,55.56,20,,100.0,1,100.0,22,50.0,75.0,-151.0,0.0,74.0,3.0,1,1,gykh8ja7,,,,,0
21,vlvkdjz0,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:38.588196,1,,,722.22,21,,75.0,1,75.0,23,170.0,97.5,420.0,0.0,762.5,15.0,1,1,gykh8ja7,,,,,0
22,9n1v1smg,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:38.706184,1,,,277.78,22,,0.0,0,0.0,20,150.0,85.0,85.0,0.0,320.0,7.0,1,1,gykh8ja7,,,,,0
23,kw7jjs2b,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:38.799963,1,,,944.44,23,,25.0,0,25.0,21,300.0,85.0,275.0,290.25,975.25,19.0,1,1,gykh8ja7,,,,,0
24,pop23w57,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:38.808538,1,,,888.89,24,,25.0,0,25.0,21,150.0,87.5,655.0,0.0,917.5,18.0,1,1,gykh8ja7,,,,,0
25,cbc0ayyd,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:39.019154,1,,,1277.78,25,,100.0,1,100.0,10,300.0,100.0,815.0,0.0,1315.0,25.0,1,1,gykh8ja7,,,,,0
