participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.gender,player.age,player.major,player.gpa,player.crt_bat_ball,player.crt_machines,player.crt_lilypads,player.att_capable,player.att_aggressive,player.att_skills,player.att_competitive,player.att_pressure,player.att_emotional,player.dictator_keep,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,1c9g6x62,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:37.268362,1,,,722.22,1,,0.0,Woman,20,Sociology,0.0,5,20,7,7,2,7,2,7,1,100,1,1,gykh8ja7,,,,,0
2,7fakiwkr,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:37.284907,1,,,555.56,2,,0.0,Man,19,Computer Engineering,4.93,5,5,47,4,5,6,5,6,2,100,1,1,gykh8ja7,,,,,0
3,d4zd28hb,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:37.385946,1,,,666.67,3,,0.0,Woman,21,Computer Science,0.0,10,100,47,6,7,6,2,4,3,100,1,1,gykh8ja7,,,,,0
4,ja5c25rz,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:38.211419,1,,,500.0,4,,0.0,Man,20,ECON,4.33,5,100,24,4,4,7,1,7,3,100,1,1,gykh8ja7,,,,,0
5,oedddvhv,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:38.224881,1,,,0.0,5,,0.0,Man,20,Robotics Engineering,4.88,10,1,47,5,5,7,5,5,3,100,1,1,gykh8ja7,,,,,0
6,7q18nnfd,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:38.238172,1,,,888.89,6,,0.0,Woman,19,BSB,0.0,10,100,24,7,6,7,1,7,1,100,1,1,gykh8ja7,,,,,0
7,03zce18q,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:38.255812,1,,,944.44,7,,0.0,Woman,19,Biomedical Science and BioBusiness,0.0,5,5,47,7,4,7,1,7,2,80,1,1,gykh8ja7,,,,,0
8,wbs0fdl5,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:38.263655,1,,,777.78,8,,0.0,Man,20,EEE,0.0,5,5,47,5,6,5,6,6,4,50,1,1,gykh8ja7,,,,,0
9,cqrngk2a,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:38.275787,1,,,1000.0,9,,0.0,Woman,18,Data Science and AI,0.0,5,5,47,7,6,7,2,6,1,100,1,1,gykh8ja7,,,,,0
10,259xsu1c,,0,587,587,FinalPage,ThankYou,2026-09-14 08:47:38.296234,1,,,833.33,10,,0.0,Woman,20,Computer Engineering,3.0,5,5,47,7,1,7,1,7,1,60,1,1,gykh8ja7,,,,,0
