session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
9l3zlzfa,1,u4sl54xk,0,,InitializeParticipant,1789438541,1,0,0
9l3zlzfa,2,q2jobopa,0,,InitializeParticipant,1789438541,1,0,0
9l3zlzfa,3,9xg7erl3,0,,InitializeParticipant,1789438542,1,0,0
9l3zlzfa,4,ixl976y0,0,,InitializeParticipant,1789438542,1,0,0
9l3zlzfa,5,nqlqeq8n,0,,InitializeParticipant,1789438542,1,0,0
9l3zlzfa,6,d10dwe1h,0,,InitializeParticipant,1789438542,1,0,0
9l3zlzfa,7,0yq0zebw,0,,InitializeParticipant,1789438542,1,0,0
9l3zlzfa,8,7sfhy51b,0,,InitializeParticipant,1789438542,1,0,0
9l3zlzfa,9,pgjj4tqg,0,,InitializeParticipant,1789438542,1,0,0
9l3zlzfa,10,z4s8evj8,0,,InitializeParticipant,1789438542,1,0,0
9l3zlzfa,11,e8h7gvii,0,,InitializeParticipant,1789438543,1,0,0
9l3zlzfa,12,yt1cbpza,0,,InitializeParticipant,1789438543,1,0,0
9l3zlzfa,13,0i38ht6y,0,,InitializeParticipant,1789438543,1,0,0
9l3zlzfa,14,xyqf41ao,0,,InitializeParticipant,1789438543,1,0,0
9l3zlzfa,15,g9pquzkd,0,,InitializeParticipant,1789438543,1,0,0
9l3zlzfa,16,7ww48hi4,0,,InitializeParticipant,1789438543,1,0,0
9l3zlzfa,17,5fdw0rg1,0,,InitializeParticipant,1789438543,1,0,0
9l3zlzfa,18,h7o9v437,0,,InitializeParticipant,1789438543,1,0,0
9l3zlzfa,19,9mimenbo,0,,InitializeParticipant,1789438543,1,0,0
9l3zlzfa,20,hn8non3y,0,,InitializeParticipant,1789438543,1,0,0
9l3zlzfa,21,x06ipo6j,0,,InitializeParticipant,1789438543,1,0,0
9l3zlzfa,22,n9iynxtq,0,,InitializeParticipant,1789438543,1,0,0
9l3zlzfa,23,diqkyqqr,0,,InitializeParticipant,1789438543,1,0,0
9l3zlzfa,24,hi0vl1bf,0,,InitializeParticipant,1789438544,1,0,0
9l3zlzfa,10,z4s8evj8,1,portfolio,Welcome,1789438557,1,0,0
9l3zlzfa,3,9xg7erl3,1,portfolio,Welcome,1789438559,1,0,0
