participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.treatment,player.dyn_stock,player.dyn_bond,player.dyn_wealth,player.mgr_p1,player.mgr_p2,player.quiz_down,player.quiz_up,player.quiz_chance,player.quiz_median,player.quiz_above,player.quiz_risk_attempts,player.quiz_market_attempts,player.bid_l,player.bid_r,player.bid_exp,player.bid_no,player.belief_inv_exp,player.belief_price_exp,player.belief_others_inv_exp,player.belief_others_price_exp,player.belief_inv_no,player.belief_price_no,player.belief_others_inv_no,player.belief_others_price_no,player.belief_inv_l,player.belief_price_l,player.belief_others_inv_l,player.belief_others_price_l,player.belief_inv_r,player.belief_price_r,player.belief_others_inv_r,player.belief_others_price_r,player.allocation_to_pay,player.market_pair_to_pay,player.rounds_to_pay,player.belief_pages_to_pay,player.task1_points,player.allocation_points,player.market_points,player.final_payoff_points,player.all_beliefs_payoff_points,player.beliefs_correct,player.trade_l,player.trade_r,player.trade_exp,player.trade_no,group.id_in_subsession,group.price_l,group.price_r,group.p1_left_is_exp,group.p2_left_is_mgr_a,group.price_exp,group.price_no,group.value_exp,group.value_no,group.value_left_gender,group.value_right_gender,group.state_left,group.state_right,group.x_exp,group.x_no,group.x_a,group.x_b,group.mean_exp,group.mean_no,group.mean_a,group.mean_b,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,u4sl54xk,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:41.791289,1,,,500.0,1,,0.0,M_no_W_exp,40,60,"{""w0"":100,""wu"":140,""wd"":80}",70,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,200,100,120,150.0,109,200.0,95,100.0,100,100.0,,,,,,,,,1,1,"1, 8",2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1,1,0.0,0.0,0,1,200.0,100.0,50.0,50.0,82.5,68.0,Down,Down,100,100,35,64,55.8743961352657,52.10828025477707,53.29113924050633,52.90384615384615,1,9l3zlzfa,,,,,0
2,q2jobopa,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:41.867553,1,,,222.22,2,,0.0,M_no_W_exp,50,50,"{""w0"":100,""wu"":150,""wd"":75}",60,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,200,100,100,180.0,150,400.0,50,120.0,100,200.0,,,,,,,,,1,1,"1, 8",2,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0.0,0.0,0,1,200.0,100.0,50.0,50.0,82.5,68.0,Down,Down,100,100,35,64,55.8743961352657,52.10828025477707,53.29113924050633,52.90384615384615,1,9l3zlzfa,,,,,0
3,9xg7erl3,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:42.002021,1,,,611.11,3,,0.0,M_no_W_exp,110,-10,"{""w0"":100,""wu"":210,""wd"":45}",70,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,160,100,130,140.0,200,300.0,100,100.0,100,100.0,,,,,,,,,1,1,"1, 8",2,0.0,0.0,0.0,0.0,0.0,0,0,0,-1,-1,1,0.0,0.0,0,1,200.0,100.0,50.0,50.0,82.5,68.0,Down,Down,100,100,35,64,55.8743961352657,52.10828025477707,53.29113924050633,52.90384615384615,1,9l3zlzfa,,,,,0
4,ixl976y0,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:42.268005,1,,,722.22,4,,0.0,M_no_W_exp,60,40,"{""w0"":100,""wu"":160,""wd"":70}",60,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,2,,,100,150,60,175.0,75,225.0,70,200.0,85,250.0,,,,,,,,,1,1,"1, 8",2,0.0,0.0,0.0,0.0,0.0,0,0,0,-1,1,1,0.0,0.0,0,1,200.0,100.0,50.0,50.0,82.5,68.0,Down,Down,100,100,35,64,55.8743961352657,52.10828025477707,53.29113924050633,52.90384615384615,1,9l3zlzfa,,,,,0
5,nqlqeq8n,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:42.844534,1,,,333.33,5,,0.0,M_no_W_exp,50,50,"{""w0"":100,""wu"":150,""wd"":75}",50,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,300,300,100,300.0,100,300.0,100,300.0,100,300.0,,,,,,,,,1,1,"1, 8",2,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,0.0,0.0,0,1,200.0,100.0,50.0,50.0,82.5,68.0,Down,Down,100,100,35,64,55.8743961352657,52.10828025477707,53.29113924050633,52.90384615384615,1,9l3zlzfa,,,,,0
6,d10dwe1h,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:42.881995,1,,,888.89,1,,0.0,M_no_W_exp,50,50,"{""w0"":100,""wu"":150,""wd"":75}",60,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,150,70,150,300.0,150,300.0,100,100.0,50,100.0,,,,,,,,,1,1,"1, 8",2,0.0,0.0,0.0,0.0,0.0,0,0,0,-1,-1,2,0.0,0.0,0,0,300.0,200.0,150.0,75.0,75.0,200.0,Down,Up,50,50,100,50,55.8743961352657,52.10828025477707,53.29113924050633,52.90384615384615,1,9l3zlzfa,,,,,0
7,0yq0zebw,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:42.904428,1,,,833.33,2,,0.0,M_no_W_exp,50,50,"{""w0"":100,""wu"":150,""wd"":75}",75,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,1,,,400,200,200,200.0,200,200.0,100,100.0,100,100.0,,,,,,,,,1,1,"1, 8",2,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,2,0.0,0.0,0,0,300.0,200.0,150.0,75.0,75.0,200.0,Down,Up,50,50,100,50,55.8743961352657,52.10828025477707,53.29113924050633,52.90384615384615,1,9l3zlzfa,,,,,0
8,7sfhy51b,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:42.911674,1,,,222.22,3,,0.0,M_no_W_exp,40,60,"{""w0"":100,""wu"":140,""wd"":80}",58,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,350,230,130,327.0,125,375.0,120,310.0,120,298.0,,,,,,,,,1,1,"1, 8",2,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,2,0.0,0.0,0,0,300.0,200.0,150.0,75.0,75.0,200.0,Down,Up,50,50,100,50,55.8743961352657,52.10828025477707,53.29113924050633,52.90384615384615,1,9l3zlzfa,,,,,0
9,pgjj4tqg,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:42.950755,1,,,611.11,4,,0.0,M_no_W_exp,89,11,"{""w0"":100,""wu"":189,""wd"":56}",80,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,300,300,125,475.0,145,535.0,185,325.0,189,490.0,,,,,,,,,1,1,"1, 8",2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2,0.0,0.0,0,0,300.0,200.0,150.0,75.0,75.0,200.0,Down,Up,50,50,100,50,55.8743961352657,52.10828025477707,53.29113924050633,52.90384615384615,1,9l3zlzfa,,,,,0
10,z4s8evj8,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:42.968291,1,,,1055.56,5,,0.0,M_no_W_exp,100,0,"{""w0"":100,""wu"":200,""wd"":50}",68,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,250,150,150,250.0,150,250.0,100,150.0,100,175.0,,,,,,,,,1,1,"1, 8",2,0.0,0.0,0.0,0.0,0.0,0,0,0,-1,-1,2,0.0,0.0,0,0,300.0,200.0,150.0,75.0,75.0,200.0,Down,Up,50,50,100,50,55.8743961352657,52.10828025477707,53.29113924050633,52.90384615384615,1,9l3zlzfa,,,,,0
