participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.is_dictator,player.dictator_payoff,player.partner_id_in_group,player.task1_points,player.allocation_points,player.market_points,player.belief_points,player.total_combined_payoff,player.payment_sgd,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,fwrj2jat,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:00.628207,1,,,1222.22,1,,0.0,0,0.0,7,170.0,185.0,872.0,0.0,1227.0,24.0,1,1,gmregd6v,,,,,0
2,0vigghqi,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:02.780536,1,,,1222.22,2,,50.0,0,50.0,11,200.0,195.0,787.0,0.0,1232.0,24.0,1,1,gmregd6v,,,,,0
3,xu6xugdp,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:02.378175,1,,,1222.22,3,,100.0,1,100.0,17,300.0,175.0,673.0,0.0,1248.0,24.0,1,1,gmregd6v,,,,,0
4,9nn00jux,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:02.401661,1,,,1333.33,4,,0.0,0,0.0,24,300.0,200.0,729.0,138.75,1367.75,26.0,1,1,gmregd6v,,,,,0
5,d8azp69w,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:02.475325,1,,,722.22,5,,1.0,0,1.0,23,110.0,190.0,439.0,0.0,740.0,15.0,1,1,gmregd6v,,,,,0
6,g5ct4rg0,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:02.961372,1,,,666.67,6,,100.0,1,100.0,20,180.0,139.0,302.0,0.0,721.0,14.0,1,1,gmregd6v,,,,,0
7,utr109q6,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:02.583853,1,,,1555.56,7,,100.0,1,100.0,1,300.0,151.0,798.0,225.0,1574.0,30.0,1,1,gmregd6v,,,,,0
8,uza1lz8f,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:03.005757,1,,,333.33,8,,0.0,0,0.0,22,150.0,136.0,90.0,0.0,376.0,8.0,1,1,gmregd6v,,,,,0
9,3z6ed32t,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:03.137923,1,,,1277.78,9,,100.0,1,100.0,25,300.0,127.0,610.0,150.0,1287.0,25.0,1,1,gmregd6v,,,,,0
10,pzsakpjx,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:03.187676,1,,,1333.33,10,,50.0,0,50.0,11,150.0,145.0,800.0,225.0,1370.0,26.0,1,1,gmregd6v,,,,,0
