session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
gmregd6v,1,fwrj2jat,0,,InitializeParticipant,1789447560,1,0,0
gmregd6v,3,xu6xugdp,0,,InitializeParticipant,1789447562,1,0,0
gmregd6v,4,9nn00jux,0,,InitializeParticipant,1789447562,1,0,0
gmregd6v,5,d8azp69w,0,,InitializeParticipant,1789447562,1,0,0
gmregd6v,7,utr109q6,0,,InitializeParticipant,1789447562,1,0,0
gmregd6v,2,0vigghqi,0,,InitializeParticipant,1789447562,1,0,0
gmregd6v,6,g5ct4rg0,0,,InitializeParticipant,1789447562,1,0,0
gmregd6v,8,uza1lz8f,0,,InitializeParticipant,1789447563,1,0,0
gmregd6v,9,3z6ed32t,0,,InitializeParticipant,1789447563,1,0,0
gmregd6v,10,pzsakpjx,0,,InitializeParticipant,1789447563,1,0,0
gmregd6v,11,h4hoh39u,0,,InitializeParticipant,1789447563,1,0,0
gmregd6v,12,jzoxfyc2,0,,InitializeParticipant,1789447563,1,0,0
gmregd6v,13,dqn940v4,0,,InitializeParticipant,1789447563,1,0,0
gmregd6v,14,5l1yk0gm,0,,InitializeParticipant,1789447563,1,0,0
gmregd6v,15,3fdg4ref,0,,InitializeParticipant,1789447563,1,0,0
gmregd6v,16,iliayit3,0,,InitializeParticipant,1789447563,1,0,0
gmregd6v,17,hpzf5xgg,0,,InitializeParticipant,1789447563,1,0,0
gmregd6v,18,3th28718,0,,InitializeParticipant,1789447565,1,0,0
gmregd6v,19,hh695q6a,0,,InitializeParticipant,1789447565,1,0,0
gmregd6v,20,2w7wmunp,0,,InitializeParticipant,1789447565,1,0,0
gmregd6v,21,2fon3kdf,0,,InitializeParticipant,1789447565,1,0,0
gmregd6v,22,0vm37wcl,0,,InitializeParticipant,1789447565,1,0,0
gmregd6v,23,9902h2kd,0,,InitializeParticipant,1789447566,1,0,0
gmregd6v,24,snwy0w01,0,,InitializeParticipant,1789447566,1,0,0
gmregd6v,25,yaickank,0,,InitializeParticipant,1789447566,1,0,0
gmregd6v,9,3z6ed32t,1,portfolio,Welcome,1789447568,1,0,0
gmregd6v,4,9nn00jux,1,portfolio,Welcome,1789447570,1,0,0
gmregd6v,12,jzoxfyc2,1,portfolio,Welcome,1789447571,1,0,0
gmregd6v,24,snwy0w01,1,portfolio,Welcome,1789447572,1,0,0
gmregd6v,9,3z6ed32t,2,portfolio,InstructionsRisk,1789447572,1,0,0
gmregd6v,14,5l1yk0gm,1,portfolio,Welcome,1789447572,1,0,0
gmregd6v,12,jzoxfyc2,2,portfolio,InstructionsRisk,1789447574,1,0,0
gmregd6v,4,9nn00jux,2,portfolio,InstructionsRisk,1789447574,1,0,0
gmregd6v,14,5l1yk0gm,2,portfolio,InstructionsRisk,1789447576,1,0,0
gmregd6v,2,0vigghqi,1,portfolio,Welcome,1789447577,1,0,0
gmregd6v,17,hpzf5xgg,1,portfolio,Welcome,1789447578,1,0,0
gmregd6v,3,xu6xugdp,1,portfolio,Welcome,1789447579,1,0,0
gmregd6v,1,fwrj2jat,1,portfolio,Welcome,1789447580,1,0,0
gmregd6v,7,utr109q6,1,portfolio,Welcome,1789447581,1,0,0
gmregd6v,2,0vigghqi,2,portfolio,InstructionsRisk,1789447582,1,0,0
gmregd6v,3,xu6xugdp,2,portfolio,InstructionsRisk,1789447582,1,0,0
gmregd6v,19,hh695q6a,1,portfolio,Welcome,1789447582,1,0,0
gmregd6v,1,fwrj2jat,2,portfolio,InstructionsRisk,1789447582,1,0,0
gmregd6v,24,snwy0w01,2,portfolio,InstructionsRisk,1789447582,1,0,0
gmregd6v,25,yaickank,1,portfolio,Welcome,1789447583,1,0,0
gmregd6v,23,9902h2kd,1,portfolio,Welcome,1789447583,1,0,0
gmregd6v,16,iliayit3,1,portfolio,Welcome,1789447583,1,0,0
gmregd6v,15,3fdg4ref,1,portfolio,Welcome,1789447583,1,0,0
gmregd6v,7,utr109q6,2,portfolio,InstructionsRisk,1789447584,1,0,0
gmregd6v,16,iliayit3,2,portfolio,InstructionsRisk,1789447586,1,0,0
gmregd6v,13,dqn940v4,1,portfolio,Welcome,1789447587,1,0,0
gmregd6v,17,hpzf5xgg,2,portfolio,InstructionsRisk,1789447589,1,0,0
gmregd6v,21,2fon3kdf,1,portfolio,Welcome,1789447589,1,0,0
gmregd6v,25,yaickank,2,portfolio,InstructionsRisk,1789447590,1,0,0
gmregd6v,22,0vm37wcl,1,portfolio,Welcome,1789447590,1,0,0
gmregd6v,6,g5ct4rg0,1,portfolio,Welcome,1789447590,1,0,0
gmregd6v,9,3z6ed32t,3,portfolio,ComprehensionRisk,1789447593,1,0,0
gmregd6v,13,dqn940v4,2,portfolio,InstructionsRisk,1789447593,1,0,0
gmregd6v,21,2fon3kdf,2,portfolio,InstructionsRisk,1789447593,1,0,0
gmregd6v,5,d8azp69w,1,portfolio,Welcome,1789447593,1,0,0
gmregd6v,23,9902h2kd,2,portfolio,InstructionsRisk,1789447594,1,0,0
gmregd6v,20,2w7wmunp,1,portfolio,Welcome,1789447594,1,0,0
gmregd6v,10,pzsakpjx,1,portfolio,Welcome,1789447595,1,0,0
gmregd6v,22,0vm37wcl,2,portfolio,InstructionsRisk,1789447595,1,0,0
gmregd6v,3,xu6xugdp,3,portfolio,ComprehensionRisk,1789447597,1,0,0
gmregd6v,5,d8azp69w,2,portfolio,InstructionsRisk,1789447597,1,0,0
gmregd6v,24,snwy0w01,3,portfolio,ComprehensionRisk,1789447597,1,0,0
gmregd6v,12,jzoxfyc2,3,portfolio,ComprehensionRisk,1789447599,1,0,0
gmregd6v,6,g5ct4rg0,2,portfolio,InstructionsRisk,1789447601,1,0,0
gmregd6v,1,fwrj2jat,3,portfolio,ComprehensionRisk,1789447601,1,0,0
gmregd6v,15,3fdg4ref,2,portfolio,InstructionsRisk,1789447603,1,0,0
gmregd6v,19,hh695q6a,2,portfolio,InstructionsRisk,1789447605,1,0,0
gmregd6v,7,utr109q6,3,portfolio,ComprehensionRisk,1789447605,1,0,0
gmregd6v,4,9nn00jux,3,portfolio,ComprehensionRisk,1789447605,1,0,0
gmregd6v,14,5l1yk0gm,3,portfolio,ComprehensionRisk,1789447606,1,0,0
gmregd6v,12,jzoxfyc2,4,portfolio,DynamicChoice,1789447609,1,0,0
gmregd6v,16,iliayit3,3,portfolio,ComprehensionRisk,1789447609,1,0,0
gmregd6v,9,3z6ed32t,4,portfolio,DynamicChoice,1789447613,1,0,0
gmregd6v,2,0vigghqi,3,portfolio,ComprehensionRisk,1789447614,1,0,0
gmregd6v,13,dqn940v4,3,portfolio,ComprehensionRisk,1789447616,1,0,0
gmregd6v,23,9902h2kd,3,portfolio,ComprehensionRisk,1789447618,1,0,0
gmregd6v,17,hpzf5xgg,3,portfolio,ComprehensionRisk,1789447618,1,0,0
gmregd6v,22,0vm37wcl,3,portfolio,ComprehensionRisk,1789447621,1,0,0
gmregd6v,7,utr109q6,4,portfolio,DynamicChoice,1789447624,1,0,0
gmregd6v,25,yaickank,3,portfolio,ComprehensionRisk,1789447624,1,0,0
gmregd6v,18,3th28718,1,portfolio,Welcome,1789447624,1,0,0
gmregd6v,4,9nn00jux,4,portfolio,DynamicChoice,1789447625,1,0,0
gmregd6v,20,2w7wmunp,2,portfolio,InstructionsRisk,1789447626,1,0,0
gmregd6v,23,9902h2kd,4,portfolio,DynamicChoice,1789447629,1,0,0
gmregd6v,13,dqn940v4,4,portfolio,DynamicChoice,1789447629,1,0,0
gmregd6v,22,0vm37wcl,4,portfolio,DynamicChoice,1789447630,1,0,0
gmregd6v,17,hpzf5xgg,4,portfolio,DynamicChoice,1789447630,1,0,0
gmregd6v,10,pzsakpjx,2,portfolio,InstructionsRisk,1789447633,1,0,0
gmregd6v,21,2fon3kdf,3,portfolio,ComprehensionRisk,1789447635,1,0,0
gmregd6v,25,yaickank,4,portfolio,DynamicChoice,1789447635,1,0,0
gmregd6v,5,d8azp69w,3,portfolio,ComprehensionRisk,1789447635,1,0,0
