participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.treatment,player.dyn_stock,player.dyn_bond,player.dyn_wealth,player.mgr_p1,player.mgr_p2,player.quiz_down,player.quiz_up,player.quiz_chance,player.quiz_median,player.quiz_above,player.quiz_risk_attempts,player.quiz_market_attempts,player.bid_l,player.bid_r,player.bid_exp,player.bid_no,player.belief_inv_exp,player.belief_price_exp,player.belief_others_inv_exp,player.belief_others_price_exp,player.belief_inv_no,player.belief_price_no,player.belief_others_inv_no,player.belief_others_price_no,player.belief_inv_l,player.belief_price_l,player.belief_others_inv_l,player.belief_others_price_l,player.belief_inv_r,player.belief_price_r,player.belief_others_inv_r,player.belief_others_price_r,player.allocation_to_pay,player.market_pair_to_pay,player.rounds_to_pay,player.belief_pages_to_pay,player.task1_points,player.allocation_points,player.market_points,player.final_payoff_points,player.all_beliefs_payoff_points,player.beliefs_correct,player.trade_l,player.trade_r,player.trade_exp,player.trade_no,group.id_in_subsession,group.price_l,group.price_r,group.p1_left_is_exp,group.p2_left_is_mgr_a,group.price_exp,group.price_no,group.value_exp,group.value_no,group.value_left_gender,group.value_right_gender,group.state_left,group.state_right,group.x_exp,group.x_no,group.x_a,group.x_b,group.mean_exp,group.mean_no,group.mean_a,group.mean_b,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,fwrj2jat,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:00.628207,1,,,1222.22,1,,0.0,M_exp_W_exp,70,30,"{""w0"":100,""wu"":170,""wd"":65}",30,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,115,11,17,457.0,102,142.0,56,543.0,10,451.0,,,,,,,,,1,1,"7, 10",3,0.0,0.0,0.0,0.0,0.0,0,0,0,-1,-1,1,0.0,0.0,1,0,135.0,110.0,200.0,150.0,150.0,150.0,Up,Up,100,50,50,50,55.8743961352657,52.10828025477707,58.87378640776699,52.90384615384615,1,gmregd6v,,,,,0
2,0vigghqi,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:02.780536,1,,,1222.22,2,,0.0,M_exp_W_exp,100,0,"{""w0"":100,""wu"":200,""wd"":50}",10,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,300,300,75,400.0,50,500.0,100,500.0,175,300.0,,,,,,,,,1,1,"7, 10",3,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,0.0,0.0,1,0,135.0,110.0,200.0,150.0,150.0,150.0,Up,Up,100,50,50,50,55.8743961352657,52.10828025477707,58.87378640776699,52.90384615384615,1,gmregd6v,,,,,0
3,xu6xugdp,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:02.378175,1,,,1222.22,3,,0.0,M_exp_W_exp,200,-100,"{""w0"":100,""wu"":300,""wd"":0}",50,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,100,100,169,150.0,169,150.0,167,150.0,167,150.0,,,,,,,,,1,1,"7, 10",3,0.0,0.0,0.0,0.0,0.0,0,0,0,-1,-1,1,0.0,0.0,1,0,135.0,110.0,200.0,150.0,150.0,150.0,Up,Up,100,50,50,50,55.8743961352657,52.10828025477707,58.87378640776699,52.90384615384615,1,gmregd6v,,,,,0
4,9nn00jux,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:02.401661,1,,,1333.33,4,,0.0,M_exp_W_exp,200,-100,"{""w0"":100,""wu"":300,""wd"":0}",0,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,135,110,170,140.0,170,150.0,60,110.0,60,50.0,,,,,,,,,1,1,"7, 10",3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.0,0.0,1,0,135.0,110.0,200.0,150.0,150.0,150.0,Up,Up,100,50,50,50,55.8743961352657,52.10828025477707,58.87378640776699,52.90384615384615,1,gmregd6v,,,,,0
5,d8azp69w,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:02.475325,1,,,722.22,5,,0.0,M_exp_W_exp,10,90,"{""w0"":100,""wu"":110,""wd"":95}",20,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,400,200,20,400.0,20,400.0,50,200.0,50,200.0,,,,,,,,,1,1,"7, 10",3,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,0.0,0.0,1,0,135.0,110.0,200.0,150.0,150.0,150.0,Up,Up,100,50,50,50,55.8743961352657,52.10828025477707,58.87378640776699,52.90384615384615,1,gmregd6v,,,,,0
6,g5ct4rg0,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:02.961372,1,,,666.67,1,,0.0,M_exp_W_exp,80,20,"{""w0"":100,""wu"":180,""wd"":60}",35,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,599,1,150,550.0,170,500.0,70,100.0,30,100.0,,,,,,,,,1,1,"7, 10",3,0.0,0.0,0.0,0.0,0.0,0,0,0,1,-1,2,0.0,0.0,1,0,400.0,150.0,160.0,100.0,150.0,175.0,Up,Up,60,0,75,50,55.8743961352657,52.10828025477707,58.87378640776699,52.90384615384615,1,gmregd6v,,,,,0
7,utr109q6,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:02.583853,1,,,1555.56,2,,0.0,M_exp_W_exp,200,-100,"{""w0"":100,""wu"":300,""wd"":0}",15,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,1,,,500,100,150,400.0,150,400.0,50,200.0,50,200.0,,,,,,,,,1,1,"7, 10",3,0.0,0.0,0.0,0.0,0.0,0,0,0,1,-1,2,0.0,0.0,1,0,400.0,150.0,160.0,100.0,150.0,175.0,Up,Up,60,0,75,50,55.8743961352657,52.10828025477707,58.87378640776699,52.90384615384615,1,gmregd6v,,,,,0
8,uza1lz8f,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:03.005757,1,,,333.33,3,,0.0,M_exp_W_exp,50,50,"{""w0"":100,""wu"":150,""wd"":75}",40,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,400,197,105,400.0,125,350.0,95,200.0,75,250.0,,,,,,,,,1,1,"7, 10",3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2,0.0,0.0,1,0,400.0,150.0,160.0,100.0,150.0,175.0,Up,Up,60,0,75,50,55.8743961352657,52.10828025477707,58.87378640776699,52.90384615384615,1,gmregd6v,,,,,0
9,3z6ed32t,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:03.137923,1,,,1277.78,4,,0.0,M_exp_W_exp,200,-100,"{""w0"":100,""wu"":300,""wd"":0}",55,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,1,599,32,86.0,59,94.0,140,240.0,110,173.0,,,,,,,,,1,1,"7, 10",3,0.0,0.0,0.0,0.0,0.0,0,0,0,-1,1,2,0.0,0.0,1,0,400.0,150.0,160.0,100.0,150.0,175.0,Up,Up,60,0,75,50,55.8743961352657,52.10828025477707,58.87378640776699,52.90384615384615,1,gmregd6v,,,,,0
10,pzsakpjx,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:03.187676,1,,,1333.33,5,,0.0,M_exp_W_exp,50,50,"{""w0"":100,""wu"":150,""wd"":75}",25,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,200,150,75,450.0,50,200.0,50,200.0,50,200.0,,,,,,,,,1,1,"7, 10",3,0.0,0.0,0.0,0.0,0.0,0,0,0,-1,0,2,0.0,0.0,1,0,400.0,150.0,160.0,100.0,150.0,175.0,Up,Up,60,0,75,50,55.8743961352657,52.10828025477707,58.87378640776699,52.90384615384615,1,gmregd6v,,,,,0
11,h4hoh39u,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:03.274120,1,,,444.44,1,,0.0,M_exp_W_exp,50,50,"{""w0"":100,""wu"":150,""wd"":75}",70,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,450,150,150,300.0,150,450.0,100,245.0,75,275.0,,,,,,,,,1,1,"7, 10",3,0.0,0.0,0.0,0.0,0.0,0,0,0,1,-1,3,0.0,0.0,0,0,400.0,200.0,75.0,50.0,50.0,90.0,Down,Down,50,100,20,100,55.8743961352657,52.10828025477707,58.87378640776699,52.90384615384615,1,gmregd6v,,,,,0
12,jzoxfyc2,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:03.326008,1,,,500.0,2,,0.0,M_exp_W_exp,100,0,"{""w0"":100,""wu"":200,""wd"":50}",30,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,300,220,150,450.0,150,350.0,50,225.0,90,300.0,,,,,,,,,1,1,"7, 10",3,0.0,0.0,0.0,0.0,0.0,0,0,0,-1,1,3,0.0,0.0,0,0,400.0,200.0,75.0,50.0,50.0,90.0,Down,Down,50,100,20,100,55.8743961352657,52.10828025477707,58.87378640776699,52.90384615384615,1,gmregd6v,,,,,0
13,dqn940v4,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:03.334007,1,,,555.56,3,,0.0,M_exp_W_exp,40,60,"{""w0"":100,""wu"":140,""wd"":80}",65,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,450,150,150,380.0,150,450.0,100,220.0,50,150.0,,,,,,,,,1,1,"7, 10",3,0.0,0.0,0.0,0.0,0.0,0,0,0,1,-1,3,0.0,0.0,0,0,400.0,200.0,75.0,50.0,50.0,90.0,Down,Down,50,100,20,100,55.8743961352657,52.10828025477707,58.87378640776699,52.90384615384615,1,gmregd6v,,,,,0
14,5l1yk0gm,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:03.341168,1,,,555.56,4,,0.0,M_exp_W_exp,50,50,"{""w0"":100,""wu"":150,""wd"":75}",60,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,400,200,60,400.0,70,400.0,40,250.0,50,200.0,,,,,,,,,1,1,"7, 10",3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0.0,0.0,0,0,400.0,200.0,75.0,50.0,50.0,90.0,Down,Down,50,100,20,100,55.8743961352657,52.10828025477707,58.87378640776699,52.90384615384615,1,gmregd6v,,,,,0
15,3fdg4ref,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:03.350239,1,,,0.0,5,,0.0,M_exp_W_exp,50,50,"{""w0"":100,""wu"":150,""wd"":75}",60,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,200,200,100,200.0,100,200.0,50,200.0,50,200.0,,,,,,,,,1,1,"7, 10",3,0.0,0.0,0.0,0.0,0.0,0,0,0,-1,1,3,0.0,0.0,0,0,400.0,200.0,75.0,50.0,50.0,90.0,Down,Down,50,100,20,100,55.8743961352657,52.10828025477707,58.87378640776699,52.90384615384615,1,gmregd6v,,,,,0
16,iliayit3,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:03.416829,1,,,1277.78,1,,0.0,M_exp_W_exp,50,50,"{""w0"":100,""wu"":150,""wd"":75}",20,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,400,200,100,300.0,150,500.0,50,200.0,50,200.0,,,,,,,,,1,1,"7, 10",3,0.0,0.0,0.0,0.0,0.0,0,0,0,-1,1,4,0.0,0.0,1,1,400.0,152.0,200.0,90.0,175.0,75.0,Up,Down,100,20,75,50,55.8743961352657,52.10828025477707,58.87378640776699,52.90384615384615,1,gmregd6v,,,,,0
17,hpzf5xgg,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:03.561629,1,,,777.78,2,,0.0,M_exp_W_exp,200,-100,"{""w0"":100,""wu"":300,""wd"":0}",15,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,550,50,150,435.0,150,450.0,75,200.0,75,200.0,,,,,,,,,1,1,"7, 10",3,0.0,0.0,0.0,0.0,0.0,0,0,0,1,-1,4,0.0,0.0,1,1,400.0,152.0,200.0,90.0,175.0,75.0,Up,Down,100,20,75,50,55.8743961352657,52.10828025477707,58.87378640776699,52.90384615384615,1,gmregd6v,,,,,0
18,3th28718,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:05.393109,1,,,722.22,3,,0.0,M_exp_W_exp,100,0,"{""w0"":100,""wu"":200,""wd"":50}",40,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,500,100,175,500.0,200,600.0,100,300.0,100,350.0,,,,,,,,,1,1,"7, 10",3,0.0,0.0,0.0,0.0,0.0,0,0,0,1,-1,4,0.0,0.0,1,1,400.0,152.0,200.0,90.0,175.0,75.0,Up,Down,100,20,75,50,55.8743961352657,52.10828025477707,58.87378640776699,52.90384615384615,1,gmregd6v,,,,,0
19,hh695q6a,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:05.412245,1,,,1666.67,4,,0.0,M_exp_W_exp,67,33,"{""w0"":100,""wu"":167,""wd"":67}",33,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,400,200,100,400.0,100,400.0,50,200.0,50,200.0,,,,,,,,,1,1,"7, 10",3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,4,0.0,0.0,1,1,400.0,152.0,200.0,90.0,175.0,75.0,Up,Down,100,20,75,50,55.8743961352657,52.10828025477707,58.87378640776699,52.90384615384615,1,gmregd6v,,,,,0
20,2w7wmunp,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:05.631685,1,,,500.0,5,,0.0,M_exp_W_exp,60,40,"{""w0"":100,""wu"":160,""wd"":70}",30,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,2,,,326,152,78,258.0,45,414.0,88,536.0,71,545.0,,,,,,,,,1,1,"7, 10",3,0.0,0.0,0.0,0.0,0.0,0,0,0,-1,0,4,0.0,0.0,1,1,400.0,152.0,200.0,90.0,175.0,75.0,Up,Down,100,20,75,50,55.8743961352657,52.10828025477707,58.87378640776699,52.90384615384615,1,gmregd6v,,,,,0
21,2fon3kdf,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:05.788969,1,,,1444.44,1,,0.0,M_exp_W_exp,60,40,"{""w0"":100,""wu"":160,""wd"":70}",42,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,300,300,100,300.0,100,300.0,150,300.0,100,300.0,,,,,,,,,1,1,"7, 10",3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,5,0.0,0.0,1,1,300.0,201.0,160.0,50.0,110.0,50.0,Up,Down,60,100,10,100,55.8743961352657,52.10828025477707,58.87378640776699,52.90384615384615,1,gmregd6v,,,,,0
22,0vm37wcl,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:05.953754,1,,,1222.22,2,,0.0,M_exp_W_exp,30,70,"{""w0"":100,""wu"":130,""wd"":85}",30,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,200,100,150,300.0,170,400.0,50,150.0,55,75.0,,,,,,,,,1,1,"7, 10",3,0.0,0.0,0.0,0.0,0.0,0,0,0,-1,-1,5,0.0,0.0,1,1,300.0,201.0,160.0,50.0,110.0,50.0,Up,Down,60,100,10,100,55.8743961352657,52.10828025477707,58.87378640776699,52.90384615384615,1,gmregd6v,,,,,0
23,9902h2kd,,0,587,587,FinalPage,ThankYou,2026-09-15 04:46:06.025371,1,,,1166.67,3,,0.0,M_exp_W_exp,200,-100,"{""w0"":100,""wu"":300,""wd"":0}",20,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,399,201,150,400.0,150,400.0,50,200.0,50,200.0,,,,,,,,,1,1,"7, 10",3,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,5,0.0,0.0,1,1,300.0,201.0,160.0,50.0,110.0,50.0,Up,Down,60,100,10,100,55.8743961352657,52.10828025477707,58.87378640776699,52.90384615384615,1,gmregd6v,,,,,0
