participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.treatment,player.dyn_stock,player.dyn_bond,player.dyn_wealth,player.mgr_p1,player.mgr_p2,player.quiz_down,player.quiz_up,player.quiz_chance,player.quiz_median,player.quiz_above,player.quiz_risk_attempts,player.quiz_market_attempts,player.bid_l,player.bid_r,player.bid_exp,player.bid_no,player.belief_inv_exp,player.belief_price_exp,player.belief_others_inv_exp,player.belief_others_price_exp,player.belief_inv_no,player.belief_price_no,player.belief_others_inv_no,player.belief_others_price_no,player.belief_inv_l,player.belief_price_l,player.belief_others_inv_l,player.belief_others_price_l,player.belief_inv_r,player.belief_price_r,player.belief_others_inv_r,player.belief_others_price_r,player.allocation_to_pay,player.market_pair_to_pay,player.rounds_to_pay,player.belief_pages_to_pay,player.task1_points,player.allocation_points,player.market_points,player.final_payoff_points,player.all_beliefs_payoff_points,player.beliefs_correct,player.trade_l,player.trade_r,player.trade_exp,player.trade_no,group.id_in_subsession,group.price_l,group.price_r,group.p1_left_is_exp,group.p2_left_is_mgr_a,group.price_exp,group.price_no,group.value_exp,group.value_no,group.value_left_gender,group.value_right_gender,group.state_left,group.state_right,group.x_exp,group.x_no,group.x_a,group.x_b,group.mean_exp,group.mean_no,group.mean_a,group.mean_b,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,msd1f2iu,,0,587,587,FinalPage,ThankYou,2026-09-16 07:14:45.221358,1,,,388.89,1,,0.0,M_no_W_no,40,60,"{""w0"":100,""wu"":140,""wd"":80}",70,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,1,0,,,150,50,200,150.0,200,300.0,100,50.0,100,250.0,,,,,,,,,2,1,"2, 6",3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1,1,0.0,0.0,0,1,150.0,100.0,87.5,75.0,70.0,50.0,Down,Down,25,50,60,100,55.8743961352657,52.10828025477707,53.29113924050633,50.91025641025641,1,ckhtfa5u,,,,,0
2,omrf04k4,,0,587,587,FinalPage,ThankYou,2026-09-16 07:14:45.274669,1,,,388.89,2,,0.0,M_no_W_no,100,0,"{""w0"":100,""wu"":200,""wd"":50}",60,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,250,350,110,475.0,130,450.0,90,350.0,70,300.0,,,,,,,,,2,1,"2, 6",3,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,0.0,0.0,0,1,150.0,100.0,87.5,75.0,70.0,50.0,Down,Down,25,50,60,100,55.8743961352657,52.10828025477707,53.29113924050633,50.91025641025641,1,ckhtfa5u,,,,,0
3,duzxv1is,,0,587,587,FinalPage,ThankYou,2026-09-16 07:14:45.347404,1,,,611.11,3,,0.0,M_no_W_no,70,30,"{""w0"":100,""wu"":170,""wd"":65}",75,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,40,20,150,250.0,150,320.0,100,150.0,80,200.0,,,,,,,,,2,1,"2, 6",3,0.0,0.0,0.0,0.0,0.0,0,0,0,-1,-1,1,0.0,0.0,0,1,150.0,100.0,87.5,75.0,70.0,50.0,Down,Down,25,50,60,100,55.8743961352657,52.10828025477707,53.29113924050633,50.91025641025641,1,ckhtfa5u,,,,,0
4,znk2pevv,,0,587,587,FinalPage,ThankYou,2026-09-16 07:14:45.967994,1,,,500.0,4,,0.0,M_no_W_no,200,-100,"{""w0"":100,""wu"":300,""wd"":0}",100,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,125,110,90,122.0,130,250.0,50,105.0,50,180.0,,,,,,,,,2,1,"2, 6",3,0.0,0.0,0.0,0.0,0.0,0,0,0,-1,1,1,0.0,0.0,0,1,150.0,100.0,87.5,75.0,70.0,50.0,Down,Down,25,50,60,100,55.8743961352657,52.10828025477707,53.29113924050633,50.91025641025641,1,ckhtfa5u,,,,,0
5,rv5b38em,,0,587,587,FinalPage,ThankYou,2026-09-16 07:14:46.164104,1,,,444.44,5,,0.0,M_no_W_no,50,50,"{""w0"":100,""wu"":150,""wd"":75}",75,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,495,100,100,300.0,100,300.0,50,500.0,50,500.0,,,,,,,,,2,1,"2, 6",3,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0.0,0.0,0,1,150.0,100.0,87.5,75.0,70.0,50.0,Down,Down,25,50,60,100,55.8743961352657,52.10828025477707,53.29113924050633,50.91025641025641,1,ckhtfa5u,,,,,0
6,z7t2lpyk,,0,587,587,FinalPage,ThankYou,2026-09-16 07:14:46.247250,1,,,666.67,1,,0.0,M_no_W_no,40,60,"{""w0"":100,""wu"":140,""wd"":80}",30,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,300,100,150,300.0,200,400.0,50,200.0,0,200.0,,,,,,,,,2,1,"2, 6",3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1,2,0.0,0.0,1,0,300.0,130.0,75.0,175.0,65.0,100.0,Down,Up,50,75,0,70,55.8743961352657,52.10828025477707,53.29113924050633,50.91025641025641,1,ckhtfa5u,,,,,0
7,dwx0my9x,,0,587,587,FinalPage,ThankYou,2026-09-16 07:14:46.305699,1,,,1166.67,2,,0.0,M_no_W_no,200,-100,"{""w0"":100,""wu"":300,""wd"":0}",38,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,1,,,300,130,120,130.0,118,128.0,95,110.0,94,108.0,,,,,,,,,2,1,"2, 6",3,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,2,0.0,0.0,1,0,300.0,130.0,75.0,175.0,65.0,100.0,Down,Up,50,75,0,70,55.8743961352657,52.10828025477707,53.29113924050633,50.91025641025641,1,ckhtfa5u,,,,,0
8,uhxz6pjz,,0,587,587,FinalPage,ThankYou,2026-09-16 07:14:46.338399,1,,,1388.89,3,,0.0,M_no_W_no,50,50,"{""w0"":100,""wu"":150,""wd"":75}",35,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,126,124,100,125.0,105,126.0,100,125.0,95,124.0,,,,,,,,,2,1,"2, 6",3,0.0,0.0,0.0,0.0,0.0,0,0,0,-1,-1,2,0.0,0.0,1,0,300.0,130.0,75.0,175.0,65.0,100.0,Down,Up,50,75,0,70,55.8743961352657,52.10828025477707,53.29113924050633,50.91025641025641,1,ckhtfa5u,,,,,0
9,r39x605k,,0,587,587,FinalPage,ThankYou,2026-09-16 07:14:46.369519,1,,,55.56,4,,0.0,M_no_W_no,100,0,"{""w0"":100,""wu"":200,""wd"":50}",25,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,450,150,40,150.0,35,150.0,70,100.0,50,100.0,,,,,,,,,2,1,"2, 6",3,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,2,0.0,0.0,1,0,300.0,130.0,75.0,175.0,65.0,100.0,Down,Up,50,75,0,70,55.8743961352657,52.10828025477707,53.29113924050633,50.91025641025641,1,ckhtfa5u,,,,,0
10,yhliw46v,,0,587,587,FinalPage,ThankYou,2026-09-16 07:14:46.359571,1,,,277.78,5,,0.0,M_no_W_no,40,60,"{""w0"":100,""wu"":140,""wd"":80}",35,,R/2 + (100 - R),2*R + (100 - R),50%,The median of all submitted prices,Buy one more share,0,0,,,300,150,130,250.0,160,400.0,70,130.0,70,200.0,,,,,,,,,2,1,"2, 6",3,0.0,0.0,0.0,0.0,0.0,0,0,0,-1,1,2,0.0,0.0,1,0,300.0,130.0,75.0,175.0,65.0,100.0,Down,Up,50,75,0,70,55.8743961352657,52.10828025477707,53.29113924050633,50.91025641025641,1,ckhtfa5u,,,,,0
