participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.is_dictator,player.dictator_payoff,player.partner_id_in_group,player.task1_points,player.allocation_points,player.market_points,player.belief_points,player.total_combined_payoff,player.payment_sgd,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,o7pccht6,,0,587,587,FinalPage,ThankYou,2026-09-16 09:15:33.480125,1,,,1055.56,1,,99.0,1,99.0,17,180.0,92.75,483.0,225.0,1079.75,21.0,1,1,6c2og0cw,,,,,0
2,xlysi5bz,,0,587,587,FinalPage,ThankYou,2026-09-16 09:15:33.034876,1,,,1055.56,2,,100.0,1,100.0,3,120.0,107.19999999999999,738.0,0.0,1065.2,21.0,1,1,6c2og0cw,,,,,0
3,ktzkk4b7,,0,587,587,FinalPage,ThankYou,2026-09-16 09:15:33.112004,1,,,1500.0,3,,0.0,0,0.0,2,300.0,80.0,1112.0,37.5,1529.5,29.0,1,1,6c2og0cw,,,,,0
4,unt4hlph,,0,587,587,FinalPage,ThankYou,2026-09-16 09:15:33.157371,1,,,388.89,4,,50.0,1,50.0,7,120.0,92.75,152.0,0.0,414.75,9.0,1,1,6c2og0cw,,,,,0
5,e3o1p3e6,,0,587,587,FinalPage,ThankYou,2026-09-16 09:15:33.166793,1,,,277.78,5,,75.0,1,75.0,12,130.0,102.95,-35.0,37.5,310.45,7.0,1,1,6c2og0cw,,,,,0
6,0nzm25g8,,0,587,587,FinalPage,ThankYou,2026-09-16 09:15:33.284650,1,,,222.22,6,,50.0,1,50.0,16,70.0,53.75,84.0,0.0,257.75,6.0,1,1,6c2og0cw,,,,,0
7,f8ff6plt,,0,587,587,FinalPage,ThankYou,2026-09-16 09:15:33.299313,1,,,666.67,7,,50.0,0,50.0,4,50.0,54.375,536.0,0.0,690.38,14.0,1,1,6c2og0cw,,,,,0
8,poc3kn08,,0,587,587,FinalPage,ThankYou,2026-09-16 09:15:33.366241,1,,,0.0,8,,35.0,0,35.0,21,90.0,52.5,-135.0,0.0,42.5,2.0,1,1,6c2og0cw,,,,,0
9,z9zrwosz,,0,587,587,FinalPage,ThankYou,2026-09-16 09:15:33.376342,1,,,333.33,9,,0.0,0,0.0,22,60.0,55.0,262.5,0.0,377.5,8.0,1,1,6c2og0cw,,,,,0
10,yldmtmxh,,0,587,587,FinalPage,ThankYou,2026-09-16 09:15:33.385003,1,,,555.56,10,,50.0,1,50.0,11,85.0,51.625,377.5,0.0,564.13,12.0,1,1,6c2og0cw,,,,,0
11,bjw1ymg6,,0,587,587,FinalPage,ThankYou,2026-09-16 09:15:33.421363,1,,,833.33,11,,50.0,0,50.0,10,17.5,85.5,700.0,0.0,853.0,17.0,1,1,6c2og0cw,,,,,0
12,dxg47gml,,0,587,587,FinalPage,ThankYou,2026-09-16 09:15:33.491807,1,,,222.22,12,,25.0,0,25.0,5,86.0,90.0,65.0,0.0,266.0,6.0,1,1,6c2og0cw,,,,,0
13,t47t8m59,,0,587,587,FinalPage,ThankYou,2026-09-16 09:15:33.501171,1,,,55.56,13,,50.0,0,50.0,24,0.0,85.5,-340.0,300.0,95.5,3.0,1,1,6c2og0cw,,,,,0
14,2epyouig,,0,587,587,FinalPage,ThankYou,2026-09-16 09:15:33.510000,1,,,500.0,14,,0.0,0,0.0,19,75.0,85.5,365.0,0.0,525.5,11.0,1,1,6c2og0cw,,,,,0
15,107rd682,,0,587,587,FinalPage,ThankYou,2026-09-16 09:15:33.545454,1,,,1000.0,15,,0.0,0,0.0,18,80.0,85.5,860.0,0.0,1025.5,20.0,1,1,6c2og0cw,,,,,0
16,6xyzc64h,,0,587,587,FinalPage,ThankYou,2026-09-16 09:15:33.555344,1,,,0.0,16,,50.0,0,50.0,6,75.0,57.5,-212.5,0.0,-30.0,2.0,1,1,6c2og0cw,,,,,0
17,566nkyxt,,0,587,587,FinalPage,ThankYou,2026-09-16 09:15:33.934007,1,,,1166.67,17,,1.0,0,1.0,1,50.0,50.0,1110.0,0.0,1211.0,23.0,1,1,6c2og0cw,,,,,0
18,uv69jk1p,,0,587,587,FinalPage,ThankYou,2026-09-16 09:15:33.624429,1,,,0.0,18,,100.0,1,100.0,15,75.0,61.25,-560.0,150.0,-173.75,2.0,1,1,6c2og0cw,,,,,0
19,thfu25ei,,0,587,587,FinalPage,ThankYou,2026-09-16 09:15:33.841511,1,,,1166.67,19,,100.0,1,100.0,14,60.0,61.25,992.5,0.0,1213.75,23.0,1,1,6c2og0cw,,,,,0
20,008uq8bs,,0,587,587,FinalPage,ThankYou,2026-09-16 09:15:33.850247,1,,,111.11,20,,0.0,0,0.0,23,25.0,55.625,45.0,0.0,125.63,4.0,1,1,6c2og0cw,,,,,0
21,o4da1gkl,,0,587,587,FinalPage,ThankYou,2026-09-16 09:15:34.223143,1,,,166.67,21,,65.0,1,65.0,8,90.0,102.0,-40.0,0.0,217.0,5.0,1,1,6c2og0cw,,,,,0
22,ilc2oqlq,,0,587,587,FinalPage,ThankYou,2026-09-16 09:15:34.214844,1,,,1222.22,22,,100.0,1,100.0,9,90.0,97.5,970.0,0.0,1257.5,24.0,1,1,6c2og0cw,,,,,0
23,qcu0td0m,,0,587,587,FinalPage,ThankYou,2026-09-16 09:15:34.419332,1,,,500.0,23,,100.0,1,100.0,20,80.0,103.8,240.0,0.0,523.8,11.0,1,1,6c2og0cw,,,,,0
24,zcjv164s,,0,587,587,FinalPage,ThankYou,2026-09-16 09:15:34.435074,1,,,1111.11,24,,50.0,1,50.0,13,75.0,106.5,680.0,210.0,1121.5,22.0,1,1,6c2og0cw,,,,,0
25,3g7fmbdb,,0,587,587,FinalPage,ThankYou,2026-09-16 09:15:34.780111,1,,,500.0,25,,1.0,0,1.0,1,80.0,108.75,100.0,225.0,514.75,11.0,1,1,6c2og0cw,,,,,0
