participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.gender,player.age,player.major,player.gpa,player.crt_bat_ball,player.crt_machines,player.crt_lilypads,player.att_capable,player.att_aggressive,player.att_skills,player.att_competitive,player.att_pressure,player.att_emotional,player.dictator_keep,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,msd1f2iu,,0,587,587,FinalPage,ThankYou,2026-09-16 07:14:45.221358,1,,,388.89,1,,0.0,Woman,19,Economics,0.0,9,5,47,6,4,7,2,3,1,100,1,1,ckhtfa5u,,,,,0
2,omrf04k4,,0,587,587,FinalPage,ThankYou,2026-09-16 07:14:45.274669,1,,,388.89,2,,0.0,Man,23,INFORMATION ENGINEERING & MEDIA,3.0,5,5,47,6,3,7,1,6,2,50,1,1,ckhtfa5u,,,,,0
3,duzxv1is,,0,587,587,FinalPage,ThankYou,2026-09-16 07:14:45.347404,1,,,611.11,3,,0.0,Woman,23,Economics,4.67,5,5,47,6,2,6,2,6,2,100,1,1,ckhtfa5u,,,,,0
4,znk2pevv,,0,587,587,FinalPage,ThankYou,2026-09-16 07:14:45.967994,1,,,500.0,4,,0.0,Woman,19,Finance,4.75,2,5,47,6,4,6,3,6,3,100,1,1,ckhtfa5u,,,,,0
5,rv5b38em,,0,587,587,FinalPage,ThankYou,2026-09-16 07:14:46.164104,1,,,444.44,5,,0.0,Woman,23,Engineering,4.0,5,100,24,7,1,7,1,7,1,100,1,1,ckhtfa5u,,,,,0
6,z7t2lpyk,,0,587,587,FinalPage,ThankYou,2026-09-16 07:14:46.247250,1,,,666.67,6,,0.0,Man,22,econ,4.0,5,5,47,6,6,6,2,3,2,80,1,1,ckhtfa5u,,,,,0
7,dwx0my9x,,0,587,587,FinalPage,ThankYou,2026-09-16 07:14:46.305699,1,,,1166.67,7,,0.0,Woman,17,EEE,4.0,5,5,47,6,7,7,5,7,2,70,1,1,ckhtfa5u,,,,,0
8,uhxz6pjz,,0,587,587,FinalPage,ThankYou,2026-09-16 07:14:46.338399,1,,,1388.89,8,,0.0,Man,19,Civil Engineering,3.5,5,5,47,6,5,6,4,6,3,100,1,1,ckhtfa5u,,,,,0
9,r39x605k,,0,587,587,FinalPage,ThankYou,2026-09-16 07:14:46.369519,1,,,55.56,9,,0.0,Man,27,Mechanical Engineering,3.7,5,5,47,5,6,5,5,3,5,100,1,1,ckhtfa5u,,,,,0
10,yhliw46v,,0,587,587,FinalPage,ThankYou,2026-09-16 07:14:46.359571,1,,,277.78,10,,0.0,Man,20,EEE,0.0,5,5,47,5,3,6,2,3,5,90,1,1,ckhtfa5u,,,,,0
