"","gender","experience","invest.other"
"1","M","exp",100
"2","W","exp",20
"3","M","no",75
"4","W","no",50
"5","W","no",25
"6","M","no",50
"7","M","no",50
"8","W","no",100
"9","M","no",25
"10","W","exp",35
"11","W","exp",70
"12","W","no",10
"13","M","no",70
"14","W","no",100
"15","W","exp",50
"16","W","no",50
"17","W","exp",20
"18","M","no",60
"19","W","exp",50
"20","M","no",50
"21","M","exp",40
"22","W","no",75
"23","W","no",40
"24","W","no",65
"25","W","exp",50
"26","W","no",25
"27","M","exp",56
"28","W","exp",200
"29","W","no",1
"30","M","exp",15
"31","W","exp",50
"32","W","no",50
"33","W","no",30
"34","M","no",10
"35","M","no",30
"36","W","exp",50
"37","M","exp",50
"38","W","exp",80
"39","W","exp",10
"40","W","exp",50
"41","M","no",30
"42","W","exp",25
"43","W","no",50
"44","W","exp",25
"45","M","exp",50
"46","W","exp",60
"47","W","exp",0
"48","M","exp",100
"49","M","exp",30
"50","M","exp",100
"51","M","no",75
"52","M","no",70
"53","M","exp",25
"54","M","exp",50
"55","M","exp",50
"56","M","exp",75
"57","M","no",70
"58","M","no",75
"59","M","exp",50
"60","M","exp",40
"61","M","no",20
"62","M","no",50
"63","W","exp",100
"64","W","exp",50
"65","W","exp",50
"66","W","no",90
"67","W","no",40
"68","W","exp",50
"69","W","no",50
"70","W","no",100
"71","M","no",50
"72","M","no",0
"73","W","no",45
"74","W","exp",76
"75","W","no",50
"76","M","exp",80
"77","M","no",20
"78","M","exp",50
"79","M","no",50
"80","M","exp",50
"81","M","exp",20
"82","M","exp",70
"83","W","no",50
"84","W","no",40
"85","W","no",50
"86","M","no",100
"87","M","no",100
"88","M","no",100
"89","M","exp",50
"90","W","exp",60
"91","W","exp",30
"92","W","no",25
"93","M","exp",70
"94","M","exp",25
"95","M","exp",50
"96","W","exp",64
"97","W","exp",50
"98","M","no",100
"99","M","exp",100
"100","M","exp",50
"101","W","exp",50
"102","W","no",50
"103","M","no",25
"104","W","exp",50
"105","W","no",50
"106","W","no",0
"107","M","exp",25
"108","W","no",100
"109","W","exp",40
"110","W","no",50
"111","M","exp",20
"112","W","exp",100
"113","W","no",60
"114","M","exp",75
"115","M","no",40
"116","M","exp",85
"117","M","exp",50
"118","W","no",0
"119","W","exp",80
"120","W","exp",50
"121","M","no",100
"122","M","no",80
"123","W","exp",50
"124","W","exp",25
"125","W","exp",50
"126","M","exp",50
"127","M","no",50
"128","M","exp",45
"129","M","exp",100
"130","W","exp",40
"131","M","no",75
"132","M","exp",75
"133","M","exp",50
"134","W","exp",50
"135","M","no",30
"136","M","exp",50
"137","M","exp",50
"138","M","exp",60
"139","W","no",50
"140","M","no",50
"141","M","no",35
"142","M","exp",100
"143","W","no",100
"144","W","no",20
"145","M","exp",70
"146","M","no",100
"147","M","exp",50
"148","W","exp",0
"149","W","exp",50
"150","M","no",100
"151","W","exp",50
"152","M","no",50
"153","W","no",80
"154","W","exp",50
"155","W","no",50
"156","M","exp",40
"157","W","exp",50
"158","W","exp",100
"159","M","exp",100
"160","W","exp",50
"161","M","exp",50
"162","W","no",100
"163","M","exp",40
"164","W","no",50
"165","M","exp",70
"166","W","exp",2
"167","W","exp",50
"168","M","exp",50
"169","M","exp",40
"170","W","exp",30
"171","W","exp",60
"172","W","no",50
"173","W","exp",30
"174","M","exp",200
"175","M","exp",75
"176","M","no",50
"177","W","no",50
"178","M","exp",100
"179","W","exp",50
"180","W","exp",50
"181","W","no",50
"182","W","no",60
"183","W","exp",50
"184","W","exp",50
"185","M","exp",100
"186","M","no",0
"187","M","no",25
"188","M","exp",0
"189","W","exp",0
"190","W","exp",50
"191","M","exp",50
"192","W","exp",50
"193","M","exp",65
"194","M","exp",50
"195","M","exp",10
"196","M","no",65
"197","M","exp",50
"198","M","exp",40
"199","W","exp",100
"200","W","no",70
"201","W","exp",75
"202","W","no",100
"203","W","exp",20
"204","M","exp",25
"205","M","exp",50
"206","M","no",25
"207","W","exp",50
"208","W","no",50
"209","M","exp",50
"210","W","exp",50
"211","W","no",50
"212","M","no",50
"213","M","no",110
"214","W","no",50
"215","M","no",50
"216","M","exp",75
"217","M","exp",10
"218","W","exp",50
"219","W","exp",60
"220","W","exp",50
"221","M","exp",70
"222","M","exp",80
"223","M","no",100
"224","W","exp",10
"225","W","no",75
"226","M","exp",50
"227","M","exp",75
"228","W","no",70
"229","M","exp",40
"230","W","exp",100
"231","W","no",40
"232","W","exp",50
"233","W","exp",75
"234","W","exp",50
"235","W","no",50
"236","W","no",50
"237","W","exp",50
"238","M","no",0
"239","W","exp",40
"240","M","exp",50
"241","W","exp",50
"242","W","no",50
