"participant.code","player.treatment","source_file","source_folder","group_uid","player.belief_inv","player.belief_price","player.belief_others_inv","player.belief_others_price","manager"
"fwrj2jat","M_exp_W_exp","portfolio_2026-09-15.csv","bothe_1","bothe_1__g1",17,457,102,142,"exp"
"0vigghqi","M_exp_W_exp","portfolio_2026-09-15.csv","bothe_1","bothe_1__g1",75,400,50,500,"exp"
"xu6xugdp","M_exp_W_exp","portfolio_2026-09-15.csv","bothe_1","bothe_1__g1",169,150,169,150,"exp"
"9nn00jux","M_exp_W_exp","portfolio_2026-09-15.csv","bothe_1","bothe_1__g1",170,140,170,150,"exp"
"d8azp69w","M_exp_W_exp","portfolio_2026-09-15.csv","bothe_1","bothe_1__g1",20,400,20,400,"exp"
"g5ct4rg0","M_exp_W_exp","portfolio_2026-09-15.csv","bothe_1","bothe_1__g2",150,550,170,500,"exp"
"utr109q6","M_exp_W_exp","portfolio_2026-09-15.csv","bothe_1","bothe_1__g2",150,400,150,400,"exp"
"uza1lz8f","M_exp_W_exp","portfolio_2026-09-15.csv","bothe_1","bothe_1__g2",105,400,125,350,"exp"
"3z6ed32t","M_exp_W_exp","portfolio_2026-09-15.csv","bothe_1","bothe_1__g2",32,86,59,94,"exp"
"pzsakpjx","M_exp_W_exp","portfolio_2026-09-15.csv","bothe_1","bothe_1__g2",75,450,50,200,"exp"
"h4hoh39u","M_exp_W_exp","portfolio_2026-09-15.csv","bothe_1","bothe_1__g3",150,300,150,450,"exp"
"jzoxfyc2","M_exp_W_exp","portfolio_2026-09-15.csv","bothe_1","bothe_1__g3",150,450,150,350,"exp"
"dqn940v4","M_exp_W_exp","portfolio_2026-09-15.csv","bothe_1","bothe_1__g3",150,380,150,450,"exp"
"5l1yk0gm","M_exp_W_exp","portfolio_2026-09-15.csv","bothe_1","bothe_1__g3",60,400,70,400,"exp"
"3fdg4ref","M_exp_W_exp","portfolio_2026-09-15.csv","bothe_1","bothe_1__g3",100,200,100,200,"exp"
"iliayit3","M_exp_W_exp","portfolio_2026-09-15.csv","bothe_1","bothe_1__g4",100,300,150,500,"exp"
"hpzf5xgg","M_exp_W_exp","portfolio_2026-09-15.csv","bothe_1","bothe_1__g4",150,435,150,450,"exp"
"3th28718","M_exp_W_exp","portfolio_2026-09-15.csv","bothe_1","bothe_1__g4",175,500,200,600,"exp"
"hh695q6a","M_exp_W_exp","portfolio_2026-09-15.csv","bothe_1","bothe_1__g4",100,400,100,400,"exp"
"2w7wmunp","M_exp_W_exp","portfolio_2026-09-15.csv","bothe_1","bothe_1__g4",78,258,45,414,"exp"
"2fon3kdf","M_exp_W_exp","portfolio_2026-09-15.csv","bothe_1","bothe_1__g5",100,300,100,300,"exp"
"0vm37wcl","M_exp_W_exp","portfolio_2026-09-15.csv","bothe_1","bothe_1__g5",150,300,170,400,"exp"
"9902h2kd","M_exp_W_exp","portfolio_2026-09-15.csv","bothe_1","bothe_1__g5",150,400,150,400,"exp"
"snwy0w01","M_exp_W_exp","portfolio_2026-09-15.csv","bothe_1","bothe_1__g5",150,300,150,300,"exp"
"yaickank","M_exp_W_exp","portfolio_2026-09-15.csv","bothe_1","bothe_1__g5",120,150,140,200,"exp"
"qvfebldb","M_exp_W_exp","portfolio_2026-09-16.csv","bothe_2","bothe_2__g1",150,350,150,400,"exp"
"vbjq2y24","M_exp_W_exp","portfolio_2026-09-16.csv","bothe_2","bothe_2__g1",180,150,150,150,"exp"
"fjbh3h2b","M_exp_W_exp","portfolio_2026-09-16.csv","bothe_2","bothe_2__g1",115,132.5,110,130,"exp"
"j0v5am99","M_exp_W_exp","portfolio_2026-09-16.csv","bothe_2","bothe_2__g1",150,500,160,500,"exp"
"wz4uvd97","M_exp_W_exp","portfolio_2026-09-16.csv","bothe_2","bothe_2__g1",80,450,97,300,"exp"
"bw46f79x","M_exp_W_exp","portfolio_2026-09-16.csv","bothe_2","bothe_2__g2",30,120,10,120,"exp"
"42qlc5nb","M_exp_W_exp","portfolio_2026-09-16.csv","bothe_2","bothe_2__g2",150,400,100,300,"exp"
"jw6ngkbn","M_exp_W_exp","portfolio_2026-09-16.csv","bothe_2","bothe_2__g2",130,135,115,130,"exp"
"booloaq9","M_exp_W_exp","portfolio_2026-09-16.csv","bothe_2","bothe_2__g2",51,401,51,401,"exp"
"2pc7nfit","M_exp_W_exp","portfolio_2026-09-16.csv","bothe_2","bothe_2__g2",160,480,120,365,"exp"
"t7rx3zw3","M_exp_W_exp","portfolio_2026-09-16.csv","bothe_2","bothe_2__g3",100,120,100,125,"exp"
"p48n4bh0","M_exp_W_exp","portfolio_2026-09-16.csv","bothe_2","bothe_2__g3",150,450,150,400,"exp"
"folcs8ow","M_exp_W_exp","portfolio_2026-09-16.csv","bothe_2","bothe_2__g3",60,120,60,120,"exp"
"cfp8kvc9","M_exp_W_exp","portfolio_2026-09-16.csv","bothe_2","bothe_2__g3",120,400,150,550,"exp"
"tt26hkpl","M_exp_W_exp","portfolio_2026-09-16.csv","bothe_2","bothe_2__g3",100,301,100,300,"exp"
"jfy8jxqv","M_exp_W_exp","portfolio_2026-09-16.csv","bothe_2","bothe_2__g4",100,400,100,450,"exp"
"eveqm1ww","M_exp_W_exp","portfolio_2026-09-16.csv","bothe_2","bothe_2__g4",150,400,150,450,"exp"
"1dtln5rg","M_exp_W_exp","portfolio_2026-09-16.csv","bothe_2","bothe_2__g4",100,125,100,125,"exp"
"5ltpvdck","M_exp_W_exp","portfolio_2026-09-16.csv","bothe_2","bothe_2__g4",130,250,100,200,"exp"
"ic1ocjv5","M_exp_W_exp","portfolio_2026-09-16.csv","bothe_2","bothe_2__g4",100,125,110,130,"exp"
"zd9eakrm","M_exp_W_exp","portfolio_2026-09-16.csv","bothe_2","bothe_2__g5",110,125,100,130,"exp"
"8tpz5m2a","M_exp_W_exp","portfolio_2026-09-16.csv","bothe_2","bothe_2__g5",150,400,150,400,"exp"
"wfmdx2nb","M_exp_W_exp","portfolio_2026-09-16.csv","bothe_2","bothe_2__g5",100,300,100,300,"exp"
"y40upi5t","M_exp_W_exp","portfolio_2026-09-16.csv","bothe_2","bothe_2__g5",90,540,150,400,"exp"
"s6nkestj","M_exp_W_exp","portfolio_2026-09-16.csv","bothe_2","bothe_2__g5",170,400,65,350,"exp"
"msd1f2iu","M_no_W_no","portfolio_2026-09-16.csv","bothno_1","bothno_1__g1",200,150,200,300,"exp"
"omrf04k4","M_no_W_no","portfolio_2026-09-16.csv","bothno_1","bothno_1__g1",110,475,130,450,"exp"
"duzxv1is","M_no_W_no","portfolio_2026-09-16.csv","bothno_1","bothno_1__g1",150,250,150,320,"exp"
"znk2pevv","M_no_W_no","portfolio_2026-09-16.csv","bothno_1","bothno_1__g1",90,122,130,250,"exp"
"rv5b38em","M_no_W_no","portfolio_2026-09-16.csv","bothno_1","bothno_1__g1",100,300,100,300,"exp"
"z7t2lpyk","M_no_W_no","portfolio_2026-09-16.csv","bothno_1","bothno_1__g2",150,300,200,400,"exp"
"dwx0my9x","M_no_W_no","portfolio_2026-09-16.csv","bothno_1","bothno_1__g2",120,130,118,128,"exp"
"uhxz6pjz","M_no_W_no","portfolio_2026-09-16.csv","bothno_1","bothno_1__g2",100,125,105,126,"exp"
"r39x605k","M_no_W_no","portfolio_2026-09-16.csv","bothno_1","bothno_1__g2",40,150,35,150,"exp"
"yhliw46v","M_no_W_no","portfolio_2026-09-16.csv","bothno_1","bothno_1__g2",130,250,160,400,"exp"
"7abl389c","M_no_W_no","portfolio_2026-09-16.csv","bothno_1","bothno_1__g3",200,450,150,450,"exp"
"6kns3oml","M_no_W_no","portfolio_2026-09-16.csv","bothno_1","bothno_1__g3",200,200,194,200,"exp"
"pp2e4xx5","M_no_W_no","portfolio_2026-09-16.csv","bothno_1","bothno_1__g3",121,458,130,560,"exp"
"jid9ui4f","M_no_W_no","portfolio_2026-09-16.csv","bothno_1","bothno_1__g3",150,525,100,525,"exp"
"grwzfvbr","M_no_W_no","portfolio_2026-09-16.csv","bothno_1","bothno_1__g3",175,450,150,500,"exp"
"yxcpp681","M_no_W_no","portfolio_2026-09-16.csv","bothno_1","bothno_1__g4",125,400,125,400,"exp"
