"participant.id_in_session","participant.code","participant.label","participant.payoff","player.id_in_group","player.role","player.payoff","player.treatment","player.dyn_stock","player.dyn_bond","player.dyn_wealth","player.mgr_p1","player.mgr_p2","player.quiz_down","player.quiz_up","player.quiz_chance","player.quiz_median","player.quiz_above","player.quiz_risk_attempts","player.quiz_market_attempts","player.bid_l","player.bid_r","player.bid_exp","player.bid_no","player.belief_inv_exp","player.belief_price_exp","player.belief_others_inv_exp","player.belief_others_price_exp","player.belief_inv_no","player.belief_price_no","player.belief_others_inv_no","player.belief_others_price_no","player.belief_inv_l","player.belief_price_l","player.belief_others_inv_l","player.belief_others_price_l","player.belief_inv_r","player.belief_price_r","player.belief_others_inv_r","player.belief_others_price_r","player.allocation_to_pay","player.market_pair_to_pay","player.rounds_to_pay","player.belief_pages_to_pay","player.task1_points","player.allocation_points","player.market_points","player.final_payoff_points","player.all_beliefs_payoff_points","player.beliefs_correct","player.trade_l","player.trade_r","player.trade_exp","player.trade_no","group.id_in_subsession","group.price_l","group.price_r","group.p1_left_is_exp","group.p2_left_is_mgr_a","group.price_exp","group.price_no","group.value_exp","group.value_no","group.value_left_gender","group.value_right_gender","group.state_left","group.state_right","group.x_exp","group.x_no","group.x_a","group.x_b","group.mean_exp","group.mean_no","group.mean_a","group.mean_b","subsession.round_number","session.code","session.label","source_folder","source_file","group_uid","left_mgr_label","right_mgr_label"
1,"fwrj2jat",NA,1222.22,1,NA,0,"M_exp_W_exp",70,30,"{""w0"":100,""wu"":170,""wd"":65}",30,NA,"R/2 + (100 - R)","2*R + (100 - R)","50%","The median of all submitted prices","Buy one more share",0,0,NA,NA,115,11,17,457,102,142,56,543,10,451,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"7, 10",3,0,0,0,0,0,0,0,0,-1,-1,1,0,0,1,0,135,110,200,150,150,150,"Up","Up",100,50,50,50,55.8743961352657,52.1082802547771,58.873786407767,52.9038461538462,1,"gmregd6v",NA,"bothe_1","portfolio_2026-09-15.csv","bothe_1__g1","W_exp","M_exp"
2,"0vigghqi",NA,1222.22,2,NA,0,"M_exp_W_exp",100,0,"{""w0"":100,""wu"":200,""wd"":50}",10,NA,"R/2 + (100 - R)","2*R + (100 - R)","50%","The median of all submitted prices","Buy one more share",0,0,NA,NA,300,300,75,400,50,500,100,500,175,300,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"7, 10",3,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,135,110,200,150,150,150,"Up","Up",100,50,50,50,55.8743961352657,52.1082802547771,58.873786407767,52.9038461538462,1,"gmregd6v",NA,"bothe_1","portfolio_2026-09-15.csv","bothe_1__g1","W_exp","M_exp"
3,"xu6xugdp",NA,1222.22,3,NA,0,"M_exp_W_exp",200,-100,"{""w0"":100,""wu"":300,""wd"":0}",50,NA,"R/2 + (100 - R)","2*R + (100 - R)","50%","The median of all submitted prices","Buy one more share",0,0,NA,NA,100,100,169,150,169,150,167,150,167,150,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"7, 10",3,0,0,0,0,0,0,0,0,-1,-1,1,0,0,1,0,135,110,200,150,150,150,"Up","Up",100,50,50,50,55.8743961352657,52.1082802547771,58.873786407767,52.9038461538462,1,"gmregd6v",NA,"bothe_1","portfolio_2026-09-15.csv","bothe_1__g1","W_exp","M_exp"
4,"9nn00jux",NA,1333.33,4,NA,0,"M_exp_W_exp",200,-100,"{""w0"":100,""wu"":300,""wd"":0}",0,NA,"R/2 + (100 - R)","2*R + (100 - R)","50%","The median of all submitted prices","Buy one more share",0,0,NA,NA,135,110,170,140,170,150,60,110,60,50,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"7, 10",3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,135,110,200,150,150,150,"Up","Up",100,50,50,50,55.8743961352657,52.1082802547771,58.873786407767,52.9038461538462,1,"gmregd6v",NA,"bothe_1","portfolio_2026-09-15.csv","bothe_1__g1","W_exp","M_exp"
5,"d8azp69w",NA,722.22,5,NA,0,"M_exp_W_exp",10,90,"{""w0"":100,""wu"":110,""wd"":95}",20,NA,"R/2 + (100 - R)","2*R + (100 - R)","50%","The median of all submitted prices","Buy one more share",0,0,NA,NA,400,200,20,400,20,400,50,200,50,200,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"7, 10",3,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,135,110,200,150,150,150,"Up","Up",100,50,50,50,55.8743961352657,52.1082802547771,58.873786407767,52.9038461538462,1,"gmregd6v",NA,"bothe_1","portfolio_2026-09-15.csv","bothe_1__g1","W_exp","M_exp"
6,"g5ct4rg0",NA,666.67,1,NA,0,"M_exp_W_exp",80,20,"{""w0"":100,""wu"":180,""wd"":60}",35,NA,"R/2 + (100 - R)","2*R + (100 - R)","50%","The median of all submitted prices","Buy one more share",0,0,NA,NA,599,1,150,550,170,500,70,100,30,100,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"7, 10",3,0,0,0,0,0,0,0,0,1,-1,2,0,0,1,0,400,150,160,100,150,175,"Up","Up",60,0,75,50,55.8743961352657,52.1082802547771,58.873786407767,52.9038461538462,1,"gmregd6v",NA,"bothe_1","portfolio_2026-09-15.csv","bothe_1__g2","W_exp","M_exp"
7,"utr109q6",NA,1555.56,2,NA,0,"M_exp_W_exp",200,-100,"{""w0"":100,""wu"":300,""wd"":0}",15,NA,"R/2 + (100 - R)","2*R + (100 - R)","50%","The median of all submitted prices","Buy one more share",0,1,NA,NA,500,100,150,400,150,400,50,200,50,200,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"7, 10",3,0,0,0,0,0,0,0,0,1,-1,2,0,0,1,0,400,150,160,100,150,175,"Up","Up",60,0,75,50,55.8743961352657,52.1082802547771,58.873786407767,52.9038461538462,1,"gmregd6v",NA,"bothe_1","portfolio_2026-09-15.csv","bothe_1__g2","W_exp","M_exp"
8,"uza1lz8f",NA,333.33,3,NA,0,"M_exp_W_exp",50,50,"{""w0"":100,""wu"":150,""wd"":75}",40,NA,"R/2 + (100 - R)","2*R + (100 - R)","50%","The median of all submitted prices","Buy one more share",0,0,NA,NA,400,197,105,400,125,350,95,200,75,250,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"7, 10",3,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,400,150,160,100,150,175,"Up","Up",60,0,75,50,55.8743961352657,52.1082802547771,58.873786407767,52.9038461538462,1,"gmregd6v",NA,"bothe_1","portfolio_2026-09-15.csv","bothe_1__g2","W_exp","M_exp"
9,"3z6ed32t",NA,1277.78,4,NA,0,"M_exp_W_exp",200,-100,"{""w0"":100,""wu"":300,""wd"":0}",55,NA,"R/2 + (100 - R)","2*R + (100 - R)","50%","The median of all submitted prices","Buy one more share",0,0,NA,NA,1,599,32,86,59,94,140,240,110,173,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"7, 10",3,0,0,0,0,0,0,0,0,-1,1,2,0,0,1,0,400,150,160,100,150,175,"Up","Up",60,0,75,50,55.8743961352657,52.1082802547771,58.873786407767,52.9038461538462,1,"gmregd6v",NA,"bothe_1","portfolio_2026-09-15.csv","bothe_1__g2","W_exp","M_exp"
10,"pzsakpjx",NA,1333.33,5,NA,0,"M_exp_W_exp",50,50,"{""w0"":100,""wu"":150,""wd"":75}",25,NA,"R/2 + (100 - R)","2*R + (100 - R)","50%","The median of all submitted prices","Buy one more share",0,0,NA,NA,200,150,75,450,50,200,50,200,50,200,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"7, 10",3,0,0,0,0,0,0,0,0,-1,0,2,0,0,1,0,400,150,160,100,150,175,"Up","Up",60,0,75,50,55.8743961352657,52.1082802547771,58.873786407767,52.9038461538462,1,"gmregd6v",NA,"bothe_1","portfolio_2026-09-15.csv","bothe_1__g2","W_exp","M_exp"
