"group_uid","player.treatment","subsession.round_number","manager","player.price"
"bothno_1__g1","M_no_W_no",1,"exp",150
"bothno_1__g2","M_no_W_no",1,"exp",300
"bothno_1__g3","M_no_W_no",1,"exp",450
"bothno_1__g4","M_no_W_no",1,"exp",375
"bothno_1__g5","M_no_W_no",1,"exp",400
"botno_2__g1","M_no_W_no",1,"exp",300
"botno_2__g2","M_no_W_no",1,"exp",300
"botno_2__g3","M_no_W_no",1,"exp",350
"botno_2__g4","M_no_W_no",1,"exp",300
"botno_2__g5","M_no_W_no",1,"exp",280
"MnoWe_1__g1","M_no_W_exp",1,"exp",300
"MnoWe_1__g2","M_no_W_exp",1,"exp",350
"MnoWe_1__g3","M_no_W_exp",1,"exp",380
"MnoWe_1__g4","M_no_W_exp",1,"exp",300
"MnoWe_1__g5","M_no_W_exp",1,"exp",250
"MnoWe_2__g1","M_no_W_exp",1,"exp",200
"MnoWe_2__g2","M_no_W_exp",1,"exp",300
"MnoWe_2__g3","M_no_W_exp",1,"exp",450
"MnoWe_2__g4","M_no_W_exp",1,"exp",400
"MnoWe_2__g5","M_no_W_exp",1,"exp",350
"MeWno_1__g1","M_exp_W_no",1,"exp",200
"MeWno_1__g2","M_exp_W_no",1,"exp",300
"MeWno_1__g3","M_exp_W_no",1,"exp",300
"MeWno_1__g4","M_exp_W_no",1,"exp",300
"MeWno_1__g5","M_exp_W_no",1,"exp",365
"MeWno_2__g1","M_exp_W_no",1,"exp",200
"MeWno_2__g2","M_exp_W_no",1,"exp",300
"MeWno_2__g3","M_exp_W_no",1,"exp",300
"MeWno_2__g4","M_exp_W_no",1,"exp",300
"MeWno_2__g5","M_exp_W_no",1,"exp",290
"bothe_1__g1","M_exp_W_exp",1,"exp",135
"bothe_1__g2","M_exp_W_exp",1,"exp",400
"bothe_1__g3","M_exp_W_exp",1,"exp",400
"bothe_1__g4","M_exp_W_exp",1,"exp",400
"bothe_1__g5","M_exp_W_exp",1,"exp",300
"bothe_2__g1","M_exp_W_exp",1,"exp",400
"bothe_2__g2","M_exp_W_exp",1,"exp",135
"bothe_2__g3","M_exp_W_exp",1,"exp",300
"bothe_2__g4","M_exp_W_exp",1,"exp",150
"bothe_2__g5","M_exp_W_exp",1,"exp",125
"bothno_1__g1","M_no_W_no",2,"exp",150
"bothno_1__g2","M_no_W_no",2,"exp",300
"bothno_1__g3","M_no_W_no",2,"exp",450
"bothno_1__g4","M_no_W_no",2,"exp",350
"bothno_1__g5","M_no_W_no",2,"exp",440
"botno_2__g1","M_no_W_no",2,"exp",351
