"group_uid","player.treatment","subsession.round_number","manager","player.price"
"MeWno_1__g1","M_exp_W_no",11,"M_exp",300
"MeWno_1__g2","M_exp_W_no",11,"M_exp",300
"MeWno_1__g3","M_exp_W_no",11,"M_exp",300
"MeWno_1__g4","M_exp_W_no",11,"M_exp",250
"MeWno_1__g5","M_exp_W_no",11,"M_exp",349
"MeWno_2__g1","M_exp_W_no",11,"M_exp",100
"MeWno_2__g2","M_exp_W_no",11,"M_exp",300
"MeWno_2__g3","M_exp_W_no",11,"M_exp",280
"MeWno_2__g4","M_exp_W_no",11,"M_exp",350
"MeWno_2__g5","M_exp_W_no",11,"M_exp",450
"bothe_1__g1","M_exp_W_exp",11,"M_exp",130
"bothe_1__g2","M_exp_W_exp",11,"M_exp",300
"bothe_1__g3","M_exp_W_exp",11,"M_exp",270
"bothe_1__g4","M_exp_W_exp",11,"M_exp",300
"bothe_1__g5","M_exp_W_exp",11,"M_exp",300
"bothe_2__g1","M_exp_W_exp",11,"M_exp",300
"bothe_2__g2","M_exp_W_exp",11,"M_exp",180
"bothe_2__g3","M_exp_W_exp",11,"M_exp",148
"bothe_2__g4","M_exp_W_exp",11,"M_exp",125
"bothe_2__g5","M_exp_W_exp",11,"M_exp",125
"MeWno_1__g1","M_exp_W_no",12,"M_exp",301
"MeWno_1__g2","M_exp_W_no",12,"M_exp",350
"MeWno_1__g3","M_exp_W_no",12,"M_exp",300
"MeWno_1__g4","M_exp_W_no",12,"M_exp",225
"MeWno_1__g5","M_exp_W_no",12,"M_exp",320
"MeWno_2__g1","M_exp_W_no",12,"M_exp",100
"MeWno_2__g2","M_exp_W_no",12,"M_exp",350
"MeWno_2__g3","M_exp_W_no",12,"M_exp",266
"MeWno_2__g4","M_exp_W_no",12,"M_exp",350
"MeWno_2__g5","M_exp_W_no",12,"M_exp",450
"bothe_1__g1","M_exp_W_exp",12,"M_exp",137
"bothe_1__g2","M_exp_W_exp",12,"M_exp",285
"bothe_1__g3","M_exp_W_exp",12,"M_exp",250
"bothe_1__g4","M_exp_W_exp",12,"M_exp",275
"bothe_1__g5","M_exp_W_exp",12,"M_exp",298
"bothe_2__g1","M_exp_W_exp",12,"M_exp",300
"bothe_2__g2","M_exp_W_exp",12,"M_exp",150
"bothe_2__g3","M_exp_W_exp",12,"M_exp",148
"bothe_2__g4","M_exp_W_exp",12,"M_exp",125
"bothe_2__g5","M_exp_W_exp",12,"M_exp",125
"MeWno_1__g1","M_exp_W_no",13,"M_exp",302
"MeWno_1__g2","M_exp_W_no",13,"M_exp",400
"MeWno_1__g3","M_exp_W_no",13,"M_exp",300
"MeWno_1__g4","M_exp_W_no",13,"M_exp",215
"MeWno_1__g5","M_exp_W_no",13,"M_exp",290
"MeWno_2__g1","M_exp_W_no",13,"M_exp",125
"MeWno_2__g2","M_exp_W_no",13,"M_exp",400
"MeWno_2__g3","M_exp_W_no",13,"M_exp",270
"MeWno_2__g4","M_exp_W_no",13,"M_exp",349
"MeWno_2__g5","M_exp_W_no",13,"M_exp",451
"bothe_1__g1","M_exp_W_exp",13,"M_exp",150
"bothe_1__g2","M_exp_W_exp",13,"M_exp",250
"bothe_1__g3","M_exp_W_exp",13,"M_exp",200
"bothe_1__g4","M_exp_W_exp",13,"M_exp",300
"bothe_1__g5","M_exp_W_exp",13,"M_exp",293
"bothe_2__g1","M_exp_W_exp",13,"M_exp",280
"bothe_2__g2","M_exp_W_exp",13,"M_exp",175
"bothe_2__g3","M_exp_W_exp",13,"M_exp",148
"bothe_2__g4","M_exp_W_exp",13,"M_exp",125
"bothe_2__g5","M_exp_W_exp",13,"M_exp",125
"MeWno_1__g1","M_exp_W_no",14,"M_exp",305
"MeWno_1__g2","M_exp_W_no",14,"M_exp",401
"MeWno_1__g3","M_exp_W_no",14,"M_exp",250
"MeWno_1__g4","M_exp_W_no",14,"M_exp",215
"MeWno_1__g5","M_exp_W_no",14,"M_exp",220
"MeWno_2__g1","M_exp_W_no",14,"M_exp",110
"MeWno_2__g2","M_exp_W_no",14,"M_exp",450
"MeWno_2__g3","M_exp_W_no",14,"M_exp",275
"MeWno_2__g4","M_exp_W_no",14,"M_exp",347
"MeWno_2__g5","M_exp_W_no",14,"M_exp",452
"bothe_1__g1","M_exp_W_exp",14,"M_exp",160
"bothe_1__g2","M_exp_W_exp",14,"M_exp",250
"bothe_1__g3","M_exp_W_exp",14,"M_exp",200
"bothe_1__g4","M_exp_W_exp",14,"M_exp",300
"bothe_1__g5","M_exp_W_exp",14,"M_exp",290
"bothe_2__g1","M_exp_W_exp",14,"M_exp",260
"bothe_2__g2","M_exp_W_exp",14,"M_exp",210
"bothe_2__g3","M_exp_W_exp",14,"M_exp",145
"bothe_2__g4","M_exp_W_exp",14,"M_exp",125
"bothe_2__g5","M_exp_W_exp",14,"M_exp",123
"MeWno_1__g1","M_exp_W_no",15,"M_exp",310
"MeWno_1__g2","M_exp_W_no",15,"M_exp",401
"MeWno_1__g3","M_exp_W_no",15,"M_exp",250
"MeWno_1__g4","M_exp_W_no",15,"M_exp",220
"MeWno_1__g5","M_exp_W_no",15,"M_exp",200
"MeWno_2__g1","M_exp_W_no",15,"M_exp",100
"MeWno_2__g2","M_exp_W_no",15,"M_exp",300
"MeWno_2__g3","M_exp_W_no",15,"M_exp",271
"MeWno_2__g4","M_exp_W_no",15,"M_exp",345
"MeWno_2__g5","M_exp_W_no",15,"M_exp",454
"bothe_1__g1","M_exp_W_exp",15,"M_exp",166
"bothe_1__g2","M_exp_W_exp",15,"M_exp",290
"bothe_1__g3","M_exp_W_exp",15,"M_exp",190
"bothe_1__g4","M_exp_W_exp",15,"M_exp",300
"bothe_1__g5","M_exp_W_exp",15,"M_exp",285
"bothe_2__g1","M_exp_W_exp",15,"M_exp",240
"bothe_2__g2","M_exp_W_exp",15,"M_exp",200
"bothe_2__g3","M_exp_W_exp",15,"M_exp",150
"bothe_2__g4","M_exp_W_exp",15,"M_exp",125
"bothe_2__g5","M_exp_W_exp",15,"M_exp",121
"MeWno_1__g1","M_exp_W_no",16,"M_exp",320
"MeWno_1__g2","M_exp_W_no",16,"M_exp",400
"MeWno_1__g3","M_exp_W_no",16,"M_exp",250
"MeWno_1__g4","M_exp_W_no",16,"M_exp",221
"MeWno_1__g5","M_exp_W_no",16,"M_exp",198
"MeWno_2__g1","M_exp_W_no",16,"M_exp",93
"MeWno_2__g2","M_exp_W_no",16,"M_exp",350
"MeWno_2__g3","M_exp_W_no",16,"M_exp",268
"MeWno_2__g4","M_exp_W_no",16,"M_exp",345
"MeWno_2__g5","M_exp_W_no",16,"M_exp",455
"bothe_1__g1","M_exp_W_exp",16,"M_exp",176
"bothe_1__g2","M_exp_W_exp",16,"M_exp",300
"bothe_1__g3","M_exp_W_exp",16,"M_exp",180
"bothe_1__g4","M_exp_W_exp",16,"M_exp",300
"bothe_1__g5","M_exp_W_exp",16,"M_exp",285
"bothe_2__g1","M_exp_W_exp",16,"M_exp",225
"bothe_2__g2","M_exp_W_exp",16,"M_exp",180
"bothe_2__g3","M_exp_W_exp",16,"M_exp",150
"bothe_2__g4","M_exp_W_exp",16,"M_exp",125
"bothe_2__g5","M_exp_W_exp",16,"M_exp",120
"MeWno_1__g1","M_exp_W_no",17,"M_exp",330
"MeWno_1__g2","M_exp_W_no",17,"M_exp",405
"MeWno_1__g3","M_exp_W_no",17,"M_exp",250
"MeWno_1__g4","M_exp_W_no",17,"M_exp",224
"MeWno_1__g5","M_exp_W_no",17,"M_exp",195
"MeWno_2__g1","M_exp_W_no",17,"M_exp",95
"MeWno_2__g2","M_exp_W_no",17,"M_exp",350
"MeWno_2__g3","M_exp_W_no",17,"M_exp",278
"MeWno_2__g4","M_exp_W_no",17,"M_exp",330
"MeWno_2__g5","M_exp_W_no",17,"M_exp",457
"bothe_1__g1","M_exp_W_exp",17,"M_exp",190
"bothe_1__g2","M_exp_W_exp",17,"M_exp",300
"bothe_1__g3","M_exp_W_exp",17,"M_exp",179
"bothe_1__g4","M_exp_W_exp",17,"M_exp",290
"bothe_1__g5","M_exp_W_exp",17,"M_exp",286
"bothe_2__g1","M_exp_W_exp",17,"M_exp",205
"bothe_2__g2","M_exp_W_exp",17,"M_exp",160
"bothe_2__g3","M_exp_W_exp",17,"M_exp",151
"bothe_2__g4","M_exp_W_exp",17,"M_exp",125
"bothe_2__g5","M_exp_W_exp",17,"M_exp",120
